	variable1	variable2	correlation	pvalue	support	corrected pvalue
	OTU_33	OTU_7	-0.712603385907128	1.44453512835874e-05	29	0.0015
	OTU_33	OTU_397	0.590044970879623	0.0161285757025518	16	0.1621
	OTU_33	OTU_34	0.690583698960219	9.42420380645181e-05	26	0.0055
	OTU_6	OTU_24	-0.505714166654297	0.00839840549781501	26	0.1115
	OTU_6	OTU_44	0.504968368959591	0.0274418861197854	19	0.2164
	OTU_26	OTU_538	-0.511045367596365	0.00762930314169319	26	0.109
	OTU_26	OTU_25	0.644401323450546	0.0174325713432415	13	0.1667
	OTU_24	OTU_28	0.609711216793537	0.000943870507051914	26	0.0328
	OTU_24	OTU_34	-0.506881027267878	0.0225527410877984	20	0.1887
	OTU_101	OTU_538	-0.691690386465942	0.0267010050769647	10	0.2121
	OTU_101	OTU_25	0.619464853076013	0.018147427257011	14	0.1704
	OTU_538	OTU_43	0.692070385091978	1.14529555310661e-05	32	0.0014
	OTU_538	OTU_25	-0.791218129475205	0.0110880161029476	9	0.1289
	OTU_538	OTU_13	-0.522520927786271	0.00880613564456789	24	0.1133
	OTU_43	OTU_93	0.50236098428019	0.0202982284208133	21	0.1791
	OTU_25	OTU_88	0.628421795393838	0.0160874076727249	14	0.1621
	OTU_64	OTU_36	-0.746057149508963	0.0132148849120464	10	0.1459
	OTU_64	OTU_34	0.68612307315293	0.00473729909167497	15	0.0823
	OTU_29	OTU_397	0.776022056084769	0.00831835660280689	10	0.1115
	OTU_92	OTU_51	0.882719415809196	0.0198255214390035	6	0.1784
	OTU_32	OTU_3	-0.653606937499625	0.0153988718361853	13	0.1601
	OTU_28	OTU_93	-0.634655599249989	0.00826667677691595	16	0.1115
	OTU_28	OTU_34	-0.660253598991751	0.00209365077255974	19	0.0542
	OTU_93	OTU_36	-0.568506065146503	0.0338971556310943	14	0.2455
	OTU_36	OTU_34	-0.675498789946122	0.00292088048837602	17	0.0657
	OTU_34	OTU_3	-0.550741743799916	0.00646169566081256	23	0.0943
	OTU_34	OTU_22	-0.595694825986235	0.0148959788939962	16	0.1572
	OTU_3	OTU_22	0.627044177677037	0.00535024788422689	18	0.0841
