	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_7	OTU_92	OTU_8	OTU_32	OTU_28	OTU_68	OTU_397	OTU_93	OTU_88	OTU_51	OTU_36	OTU_34	OTU_3	OTU_22	OTU_44
OTU_1	0.171534865565933	0.021944720387686	-0.137561607825725	1	-0.18441952921291	-0.0381994487148689	0.507124997505109	-0.460405113363417	-0.202000238943659	-0.530354201891664	0.28047960512864	0.441852900771008	-0.190055345554922	-0.0202523388478391	-0.385958489397487	-0.238780922067859	-0.37220496128131	-0.43997392147576	0.0710874617804702	0.326245930208413	-0.140709196098388	-0.437638978681701	-0.0462963068276233	-0.0282273897521022	0.00871115266435673	0.196392005208796	-0.20941129677698	-0.464539536572945	-0.435764151283984	-0.069353952611099	0.366205217208784	0.0723787246172163	-0.0288534580249338	-0.365437159684727	-0.412426279386251	-0.263064556940847	0.121721298176912	-0.197532746194619	0.134501470985497	-0.0792017424496316	0.0741699803651622	-0.637976696888832	-0.0208712621423696	0.0443402663675366	0.102322904977926	0.139514338351709	-0.287280079836857	-0.430710255968824	0.454867420665356	-0.48954939909148	-0.147296268433912	-0.190010962317614	-0.208428030466437	-0.0196189342996193	-0.427514837956244
OTU_5	-0.537210722953607	-0.513955928064215	-0.379785349578764	-0.18441952921291	1	0.44891417837072	-0.0910208218050471	0.411916452002075	0.385681123759592	0.596109605109208	0.0260283838527102	-0.0436710898095393	0.537276109042478	0.138870645951296	0.120032064884526	0.382495665594511	0.0884807669711736	0.171576851491452	0.328163077168411	0.108742353093923	0.0284261435053732	0.165348923351713	0.262145158155621	0.0181843579485524	0.316457444123082	-0.178651296110909	0.283702443855919	0.114122641255721	0.312149412330769	0.0215472007697803	0.0756809225522759	-0.400780767586997	-0.322003346322323	0.410629890377299	0.248399584864137	-0.238892718861692	-0.522242356064139	0.271077317522959	0.0895813506487303	-0.10689912684452	-0.443905580844939	-0.0232332374049986	-0.204849801023074	-0.390945972099105	0.0362069925006533	0.0713563045047207	-0.135381265409415	0.389264971980297	-0.175494067553775	-0.140100593978554	-0.408361721446076	0.723067213553485	-0.348913361996736	-0.491009775314746	-0.0187500235114363
OTU_4	-0.585671548885949	-0.617431007660665	-0.564158628167343	-0.0381994487148689	0.44891417837072	1	0.113367127218069	0.353159934622696	0.473894666337272	0.474276878852024	-0.00474981875763118	0.0893846334533596	0.293755058727521	0.0758572050401028	0.109071155306669	0.468921463856024	0.140848149191376	-0.206155266194555	0.423727571178674	0.165751140010484	-0.367700127459371	-0.149813730986211	-0.0332362935697888	-0.171798508275401	0.44276749221654	-0.336364817969039	-0.284176801683434	-0.0850398119299087	0.177757026285277	0.147843389347697	0.135983085871255	-0.256304186013096	-0.350426809412653	0.000212297119571802	0.0105814898687604	-0.129727870414072	-0.112863604328161	0.584944954037449	0.241679811020019	-0.0838216047989446	-0.354134550756385	0.00759575174892364	-0.381172957548638	-0.266387002673005	0.151976338065796	0.00928442785722727	-0.299784665116936	0.0544368282750367	0.19140660062626	-0.52420740273778	-0.26859968007443	0.0689689912262191	-0.366876113894543	-0.523054085724541	-0.328879612666502
OTU_2	-0.230835229659366	-0.2844437259461	-0.390720078770676	0.507124997505109	-0.0910208218050471	0.113367127218069	1	-0.124123042353112	-0.146004740342914	-0.380962686566702	0.465220561066796	0.548718187231187	-0.471049383134796	-0.161372671505563	-0.168595271485912	-0.0653119283669667	0.300509928362799	0.0230949035993429	0.390885434217669	-0.0119390030373396	-0.369092886548315	-0.638472312650002	0.0356473436593309	-0.0141413746772297	0.216273218298845	-0.139135158180655	-0.651626465800238	-0.396078750692501	-0.191330448334651	-0.174750523850767	0.513011004315636	0.203399561934759	-0.0995921306199727	-0.575307545743716	-0.422313981247985	-0.1442619038069	0.363831915318525	-0.248816843546925	0.196758341429251	0.0446950191306572	0.213740999718655	-0.10431602330515	0.0770197821605774	0.197326973852836	0.177613632201235	0.217620436304109	0.190830872570173	-0.116914172689581	0.379794858542608	-0.406388872823256	-0.211331959143748	-0.270707333206296	-0.254729215661526	0.200114752666044	-0.516671312535912
OTU_41	-0.548005329204379	-0.411969926048594	-0.234497315227617	-0.460405113363417	0.411916452002075	0.353159934622696	-0.124123042353112	1	0.321138269634183	0.352153694390439	-0.109053891768012	-0.0970329220922236	0.388637352320653	0.210591679488449	0.611881430538842	0.205059397687543	0.462472780671411	0.505898339483874	0.367547877448557	-0.32860672840959	-0.198314011953614	-0.0615440857549816	0.0308240403441685	0.0525867879712594	0.316817696357354	-0.350834869673787	-0.0224495975735339	0.159175267347166	0.565829859767602	-0.032417904355605	-0.262999980087552	-0.109023730639165	-0.242075666606968	0.001824081149745	0.0887425934934248	-0.0880050906533766	-0.148540196840589	0.0616014454876341	0.281552676908174	-0.351446592958113	-0.463299260769013	0.636204621057495	0.0525322991000551	0.0221911262455202	-0.17707047556136	0.216869864490845	-0.283335148620192	0.0764891187974147	0.0137675727410016	-0.104575736307761	-0.158729658492449	0.407581298489721	0.0110858819781847	0.0323573579039687	0.289362098718188
OTU_31	-0.546857728184345	-0.656371351528493	-0.508114250500906	-0.202000238943659	0.385681123759592	0.473894666337272	-0.146004740342914	0.321138269634183	1	0.828154107681594	-0.0992278241126287	0.0949841085877682	0.111621177223612	-0.149770281773548	0.326718555373178	0.24752377649026	0.188141616471542	-0.121024764220605	0.116124239846146	0.635268272475112	-0.476157317128718	-0.295880694873447	0.301021502816906	-0.336795715511916	0.204345538146164	-0.456583107766719	-0.204042749108075	0.0474651858651797	0.208796895271887	0.0677315865532112	0.161122737883169	0.0426642561878888	-0.096983022564191	-0.307189864593283	-0.0792693412754936	-0.330014304989807	-0.154650558070453	0.51532030093421	-0.0201610132530874	0.0667612700145624	-0.30155033191794	0.20422753389315	-0.41101292444792	0.0621179252675994	-0.104286042859443	0.286876277426416	0.173271403553341	0.353345326822951	0.0658597890598561	-0.329940322768206	-0.354805225471902	-0.999999999999726	-0.191098987122529	-0.321845895358172	-0.662667846177687
OTU_39	-0.522502029677815	-0.57305807473878	-0.359230943453639	-0.530354201891664	0.596109605109208	0.474276878852024	-0.380962686566702	0.352153694390439	0.828154107681594	1	-0.0872312876942762	-0.167878392136023	0.293616563581955	-0.0658074010721501	0.416857497457037	0.222801691681302	0.204207861184963	0.0759766601215444	0.0717992990784023	0.349987189699721	-0.264907503759018	0.31492120907648	0.121568005399179	0.303634510870058	-0.0515173777475888	-0.502987089848695	0.133544783463511	0.454258865734764	0.50141313362704	-0.197418977321606	0.111681031590336	-0.321481546784695	-0.199203189056519	0.633326317800982	0.0354885716521157	0.0171842200837982	-0.217832052957794	0.21270274699262	-0.264564120429901	-0.0663134485298262	-0.372421073810676	0.247483691308708	-0.362582375347503	-0.253833944382106	0.0287048862253659	0.178645085538576	-0.329424548181137	0	-0.410076986072874	-0.0191416892479014	-0.540829520085851	0	-0.213435903700857	-0.998079069956304	-0.999999999999965
OTU_23	-0.100921737026495	-0.161472919282344	-0.257207357217727	0.28047960512864	0.0260283838527102	-0.00474981875763118	0.465220561066796	-0.109053891768012	-0.0992278241126287	-0.0872312876942762	1	0.391681822566579	-0.175920601785196	0.0749477680625834	-0.0305173461351104	-0.102908932591228	-0.074762593531314	-0.198524298593394	0.0463877103237028	0.0225507393675032	-0.17405173319295	-0.598045313853899	-0.203638730106556	0.0674465385588115	-0.0577429844524823	0.178012098192034	-0.245900085844126	-0.41804818724188	-0.267902679326443	0.111203260915599	0.137214878365654	-0.0210648397819027	0.260203186769718	-0.466681949727485	-0.350673576842767	-0.0715297662906985	-0.131183629402883	-0.117956116506819	0.398801941077628	0.163103648352452	0.139483101351866	0.371449912245315	0.26987163661737	-0.0261512680294018	0.22234249282486	0.289447741173978	0.289447412605687	-0.0143850415569768	-0.287725032059044	0.116910220036773	-0.227199023792291	-0.300553128072171	-0.286537505722742	0.245881561480451	-0.339909970891358
OTU_9	-0.230917892208332	-0.324985117581329	-0.405477952418091	0.441852900771008	-0.0436710898095393	0.0893846334533596	0.548718187231187	-0.0970329220922236	0.0949841085877682	-0.167878392136023	0.391681822566579	1	-0.209937057226099	-0.196979238942664	-0.165216808741157	-0.107259893892977	0.235637488011917	-0.207825461743884	0.305222559063438	0.210501372871716	0.161665923109709	-0.337291868902416	0.0498317524361022	0.02040872067453	0.125219582325305	-0.136075140396226	-0.378101171590921	-0.356192335737722	-0.0229445021968769	-0.0451466795756659	0.449984210663156	-0.0747007562753309	0.00621152261792786	-0.177629309936989	-0.388184766366394	0.0360095381286721	0.262055965452122	-0.079471970597238	0.213567070686985	-0.035311994505162	0.162984883400022	-0.0528370136787414	-0.0516844941693956	-0.0568461516602714	-0.0743905855929007	0.272956336489745	-0.0185262616629958	0.0580481707215219	0.277458973002884	-0.299540641284362	-0.296891720309141	-0.160016613432064	-0.216464955924486	0.295279087234138	-0.466215306732327
OTU_20	-0.231173982837816	-0.214764467646965	-0.116939618467163	-0.190055345554922	0.537276109042478	0.293755058727521	-0.471049383134796	0.388637352320653	0.111621177223612	0.293616563581955	-0.175920601785196	-0.209937057226099	1	0.243011370464278	0.253019500640373	0.292928530986559	-0.225214965103662	0.0851023536173435	0.273309896562453	0.0198160415318064	0.24364816635496	0.416224517633242	-0.0398586636545241	-0.063438154345516	0.455804294031106	-0.136755193035513	0.540010735684744	0.314639928547318	0.241858003205407	0.376152753509385	-0.444737359599896	-0.461324431684936	-0.353158873408141	0.503380081863529	0.288337581249462	0.0438077078630876	-0.504518324615516	0.232137148250222	-0.0107633214964689	-0.429573273752543	-0.467038510135283	0.165668529541852	-0.371848391636532	-0.313757237821541	-0.146928463250533	-0.0285046817976673	-0.324058925530333	0.385676274060361	-0.198779937536571	0.154536739158016	-0.309749592289651	0.762441548879834	-0.369206074155116	-0.61709183297938	0.171320332003907
