"SampleID"	"Age"	"Genotype"	"Age_Genotype"	"sex"	"Richness"	"Shannon.effective"	"Simpson.effective"	"k__Bacteria"	"p__Actinobacteria"	"p__Bacteroidetes"	"p__Candidatus Saccharibacteria"	"p__Deferribacteres"	"p__Firmicutes"	"p__Proteobacteria"	"p__Tenericutes"	"p__unknown_ Bacteria"	"c__Actinobacteria"	"c__Alphaproteobacteria"	"c__Bacilli"	"c__Bacteroidia"	"c__Betaproteobacteria"	"c__Clostridia"	"c__Deferribacteres"	"c__Deltaproteobacteria"	"c__Erysipelotrichia"	"c__Mollicutes"	"c__Saccharibacteria_genera_incertae_sedis"	"c__unknown_ Bacteria"	"c__unknown_ Bacteroidetes"	"c__unknown_ Firmicutes"	"o__Anaeroplasmatales"	"o__Bacillales"	"o__Bacteroidales"	"o__Burkholderiales"	"o__Clostridiales"	"o__Coriobacteriales"	"o__Deferribacterales"	"o__Desulfovibrionales"	"o__Erysipelotrichales"	"o__Lactobacillales"	"o__Saccharibacteria_genera_incertae_sedis"	"o__unknown_ Alphaproteobacteria"	"o__unknown_ Bacteria"	"o__unknown_ Bacteroidetes"	"o__unknown_ Deltaproteobacteria"	"o__unknown_ Firmicutes"	"f__Anaeroplasmataceae"	"f__Bacillaceae 2"	"f__Bacteroidaceae"	"f__Coriobacteriaceae"	"f__Deferribacteraceae"	"f__Desulfovibrionaceae"	"f__Erysipelotrichaceae"	"f__Eubacteriaceae"	"f__Lachnospiraceae"	"f__Lactobacillaceae"	"f__Peptostreptococcaceae"	"f__Porphyromonadaceae"	"f__Prevotellaceae"	"f__Rikenellaceae"	"f__Ruminococcaceae"	"f__Saccharibacteria_genera_incertae_sedis"	"f__Sutterellaceae"	"f__unknown_ Alphaproteobacteria"	"f__unknown_ Bacteria"	"f__unknown_ Bacteroidales"	"f__unknown_ Bacteroidetes"	"f__unknown_ Clostridiales"	"f__unknown_ Deltaproteobacteria"	"f__unknown_ Firmicutes"	"g__Alistipes"	"g__Allobaculum"	"g__Alloprevotella"	"g__Anaeroplasma"	"g__Anaerotruncus"	"g__Bacteroides"	"g__Barnesiella"	"g__Butyricicoccus"	"g__Clostridium IV"	"g__Clostridium XI"	"g__Clostridium XlVa"	"g__Clostridium XlVb"	"g__Desulfovibrio"	"g__Eisenbergiella"	"g__Enterorhabdus"	"g__Eubacterium"	"g__Faecalibacterium"	"g__Flavonifractor"	"g__Lachnospiracea_incertae_sedis"	"g__Lactobacillus"	"g__Mucispirillum"	"g__Oceanobacillus"	"g__Odoribacter"	"g__Oscillibacter"	"g__Parabacteroides"	"g__Parasutterella"	"g__Parvibacter"	"g__Prevotella"	"g__Roseburia"	"g__Ruminococcus"	"g__Saccharibacteria_genera_incertae_sedis"	"g__Turicibacter"	"g__unknown_ Alphaproteobacteria"	"g__unknown_ Bacteria"	"g__unknown_ Bacteroidales"	"g__unknown_ Bacteroidetes"	"g__unknown_ Clostridiales"	"g__unknown_ Deltaproteobacteria"	"g__unknown_ Desulfovibrionaceae"	"g__unknown_ Firmicutes"	"g__unknown_ Lachnospiraceae"	"g__unknown_ Porphyromonadaceae"	"g__unknown_ Ruminococcaceae"
"31.188.9"	9	"cre"	"9_cre"	"f"	134	50.61	27.04	100	0.0986471251409245	58.3709131905299	0.394588500563698	0.338218714768884	36.1753100338219	3.49492671927847	0.760992108229989	0.366403607666291	0.0986471251409245	0.310033821871477	22.1251409244645	57.5817361894025	2.87485907553552	12.7113866967305	0.338218714768884	0.310033821871477	0.366403607666291	0.760992108229989	0.394588500563698	0.366403607666291	0.789177001127396	0.972378804960541	0.760992108229989	0	57.5817361894025	2.87485907553552	12.7113866967305	0.0986471251409245	0.338218714768884	0.0422773393461105	0.366403607666291	22.1251409244645	0.394588500563698	0.310033821871477	0.366403607666291	0.789177001127396	0.267756482525366	0.972378804960541	0.760992108229989	0	2.38162344983089	0.0986471251409245	0.338218714768884	0.0422773393461105	0.366403607666291	0.169109357384442	6.34160090191657	22.1251409244645	0.183201803833145	37.1476888387824	1.47970687711387	13.5569334836528	3.49492671927846	0.394588500563698	2.87485907553552	0.310033821871477	0.366403607666291	3.01578354002254	0.789177001127396	2.52254791431792	0.267756482525366	0.972378804960541	13.5569334836528	0	1.15558060879369	0.760992108229989	0.155016910935738	2.38162344983089	4.62232243517475	0.140924464487034	0.338218714768883	0.183201803833145	0.084554678692221	0.126832018038331	0.0140924464487035	0	0.084554678692221	0.169109357384442	0	0.310033821871476	0.112739571589628	22.1251409244645	0.338218714768884	0	2.79030439684329	0.112739571589628	0.394588500563698	2.87485907553552	0.0140924464487035	0.32412626832018	0.028184892897407	0.366403607666291	0.394588500563698	0.366403607666291	0.310033821871477	0.366403607666291	3.01578354002254	0.789177001127396	2.52254791431792	0.267756482525366	0.028184892897407	0.972378804960541	5.98928974069898	29.3404735062007	2.07158962795941
"54.194.10"	10	"wt"	"10_wt"	"f"	179	92.46	48.79	100	0.0323554788610872	29.46505608283	0.172562553925798	0.26962899050906	68.4426229508197	1.28343399482312	0.0754961173425367	0.258843830888697	0.0323554788610872	0	0.280414150129422	28.8071613459879	0.625539257981018	67.9357204486627	0.26962899050906	0.657894736842105	0	0.0754961173425367	0.172562553925798	0.258843830888697	0.657894736842105	0.22648835202761	0.0754961173425367	0	28.8071613459879	0.625539257981018	67.9357204486627	0.0323554788610872	0.26962899050906	0.593183779119931	0	0.280414150129422	0.172562553925798	0	0.258843830888697	0.657894736842105	0.0647109577221743	0.22648835202761	0.0754961173425367	0	1.25107851596204	0.0323554788610872	0.26962899050906	0.593183779119931	0	0.0754961173425367	51.6824849007765	0.280414150129422	0	19.3270060396894	0.161777394305436	7.52804141501295	14.1393442622951	0.172562553925798	0.625539257981018	0	0.258843830888697	0.539257981018119	0.657894736842105	2.03839516824849	0.0647109577221743	0.22648835202761	7.52804141501295	0	0.140207075064711	0.0754961173425367	0.0970664365832614	1.25107851596204	2.59922346850733	1.12165660051769	0.463761863675583	0	2.45901639344262	0.603968938740293	0.0215703192407248	0	0.0107851596203624	0.0754961173425367	0	1.4344262295082	0.517687661777394	0.280414150129422	0.26962899050906	0	1.76876617773943	1.68248490077653	0.129421915444349	0.625539257981018	0.0215703192407248	0.0215703192407248	1.19715271786022	0.345125107851596	0.172562553925798	0	0	0.258843830888697	0.539257981018119	0.657894736842105	2.03839516824849	0.0647109577221743	0.571613459879206	0.22648835202761	46.904659188956	14.8295944779983	8.99482312338223
"13.194.5"	5	"wt"	"5_wt"	"f"	168	92.13	56.82	100	0	22.4124158393244	0.148351021339724	0.947164213169006	74.6776218190117	1.03845714937807	0.730343489672487	0.0456464681045304	0	0	1.90574004336414	22.1499486477234	0.308113659705581	72.6463539883601	0.947164213169006	0.730343489672487	0	0.730343489672487	0.148351021339724	0.0456464681045304	0.26246719160105	0.125527787287459	0.730343489672487	0	22.1499486477234	0.308113659705581	72.6463539883601	0	0.947164213169006	0.661873787515692	0	1.90574004336414	0.148351021339724	0	0.0456464681045304	0.26246719160105	0.0684697021567956	0.125527787287459	0.730343489672487	0	1.33515919205751	0	0.947164213169006	0.661873787515692	0	0.114116170261326	53.531895469588	1.90574004336414	0	14.7552208147895	0.171174255391989	5.36346000228232	17.3114230286432	0.148351021339724	0.308113659705581	0	0.0456464681045304	0.524934383202099	0.26246719160105	1.68891931986763	0.0684697021567956	0.125527787287459	5.36346000228232	0	0.0798813191829282	0.730343489672487	0.981399064247404	1.33515919205751	2.31655825630492	0.867282893986078	0.26246719160105	0	1.65468446878923	0.627638936437293	0.0114116170261326	0	0	0.114116170261326	0	1.47209859637111	0.753166723724752	1.90574004336414	0.947164213169006	0	0.981399064247404	1.5405682985279	0.0912929362090608	0.308113659705581	0	0.0912929362090608	0.0114116170261326	0.969987447221271	0.148351021339724	0	0	0.0456464681045304	0.524934383202099	0.26246719160105	1.68891931986763	0.0684697021567956	0.650462170489559	0.125527787287459	50.4849937236106	11.3659705580281	11.2176195366884
"64.194.12"	12	"wt"	"12_wt"	"f"	165	81.08	43.38	100	0.0901306894997747	36.1424064894097	0.157728706624606	0.360522757999099	59.598918431726	3.24470482199188	0.0450653447498873	0.360522757999099	0.0901306894997747	0	5.90356016223524	35.4889589905363	2.52365930599369	53.199639477242	0.360522757999099	0.721045515998197	0.0225326723749437	0.0450653447498873	0.157728706624606	0.360522757999099	0.653447498873366	0.473186119873817	0.0450653447498873	0	35.4889589905363	2.52365930599369	53.199639477242	0.0901306894997747	0.360522757999099	0.473186119873817	0.0225326723749437	5.90356016223524	0.157728706624606	0	0.360522757999099	0.653447498873366	0.24785939612438	0.473186119873817	0.0450653447498873	0	2.43352861649391	0.0901306894997747	0.360522757999099	0.473186119873817	0.0225326723749437	0.0901306894997747	36.9535826949076	5.90356016223524	0	18.6119873817035	0.518251464623704	13.3618747183416	12.4831004957188	0.157728706624606	2.52365930599369	0	0.360522757999099	0.563316809373592	0.653447498873366	3.67282559711582	0.24785939612438	0.473186119873817	13.3618747183416	0.0225326723749437	0.0450653447498873	0.0450653447498873	0.202794051374493	2.43352861649391	3.0419107706174	0.563316809373591	0.405588102748986	0	1.62235241099595	0.811176205497972	0	0.0225326723749437	0.0901306894997747	0.0901306894997747	0	1.01397025687246	0.225326723749437	5.90356016223524	0.360522757999099	0	2.52365930599369	1.78008111762055	0.540784136998648	2.52365930599369	0	0.473186119873817	0.450653447498873	1.82514646237044	0.157728706624606	0	0	0.360522757999099	0.563316809373592	0.653447498873366	3.67282559711582	0.24785939612438	0.473186119873817	0.473186119873817	33.8215412347904	12.5056331680937	6.69220369535827
"39.187.9"	9	"wt"	"9_wt"	"m"	170	87.83	56.5	100	0.062582139057513	45.5222479504349	0.14393891983228	0.19400463107829	51.2798047437261	1.99637023593466	0.0688403529632643	0.732211026972902	0.062582139057513	0.419300331685337	0.707178171349897	45.0653983353151	1.12647850303523	47.7251392452594	0.19400463107829	0.450591401214094	0.0500657112460104	0.0688403529632643	0.14393891983228	0.732211026972902	0.456849615119845	2.79742161587083	0.0688403529632643	0	45.0653983353151	1.12647850303523	47.7251392452594	0.062582139057513	0.19400463107829	0.375492834345078	0.0500657112460104	0.707178171349897	0.14393891983228	0.419300331685337	0.732211026972902	0.456849615119845	0.0750985668690156	2.79742161587083	0.0688403529632643	0	1.13899493084674	0.062582139057513	0.19400463107829	0.375492834345078	0.0500657112460104	0.181488203266788	27.4109769071907	0.707178171349897	0	33.7568058076225	1.53952062081482	6.57738281494461	14.7506101758558	0.14393891983228	1.12647850303523	0.419300331685337	0.732211026972902	2.05269416108642	0.456849615119845	5.38206395894612	0.0750985668690156	2.79742161587083	6.57738281494461	0.0500657112460104	0.650854246198135	0.0688403529632643	0.262844984041555	1.13899493084674	1.13273671694099	0.256586770135803	0.926215658051192	0	1.00757243882596	0.682145315726891	0.0062582139057513	0	0.0312910695287565	0.181488203266788	0	0.650854246198135	0.200262844984042	0.707178171349897	0.19400463107829	0	1.25790099505601	1.27667563677327	0.488140684648601	1.12647850303523	0.0312910695287565	0.888666374616684	0.306652481381814	2.6472244821328	0.14393891983228	0	0.419300331685337	0.732211026972902	2.05269416108642	0.456849615119845	5.38206395894612	0.0750985668690156	0.369234620439327	2.79742161587083	25.214343826272	30.8780274109769	8.73020839852307
"65.195.12"	12	"wt"	"12_wt"	"f"	175	87.57	50.82	100	0.112968820605513	56.066425666516	0.406687754179846	0.293718933574333	40.7478535924085	1.87528242205151	0.158156348847718	0.338906461816539	0.112968820605513	0.0903750564844103	1.46859466787166	54.1572525982829	1.3669227293267	38.646633529146	0.293718933574333	0.417984636240397	0.0903750564844103	0.158156348847718	0.406687754179846	0.338906461816539	1.90917306823317	0.542250338906461	0.158156348847718	0	54.1572525982829	1.3669227293267	38.646633529146	0.112968820605513	0.293718933574333	0.237234523271577	0.0903750564844103	1.46859466787166	0.406687754179846	0.0903750564844103	0.338906461816539	1.90917306823317	0.180750112968821	0.542250338906461	0.158156348847718	0	3.17442385901491	0.112968820605513	0.293718933574333	0.237234523271577	0.0903750564844103	0.237234523271577	25.7117035698147	1.46859466787166	0	39.2792589245368	0.858563036601898	10.3931314957072	9.92995933122458	0.406687754179846	1.3669227293267	0.0903750564844103	0.338906461816539	0.451875282422052	1.90917306823317	2.76773610483507	0.180750112968821	0.542250338906461	10.3931314957072	0.0903750564844103	0.158156348847718	0.158156348847718	0.101671938544962	3.17442385901491	3.75056484410303	0.225937641211026	1.18617261635788	0	2.29326705829191	0.4405784003615	0.0112968820605513	0.0112968820605513	0.0903750564844103	0.237234523271577	0	1.05061003163127	0.519656574785359	1.46859466787166	0.293718933574333	0	1.762313601446	0.847266154541346	1.02801626751017	1.3669227293267	0.0225937641211026	0.70040668775418	0.429281518300949	0.79078174423859	0.406687754179846	0	0.0903750564844103	0.338906461816539	0.451875282422052	1.90917306823317	2.76773610483507	0.180750112968821	0.225937641211025	0.542250338906461	22.0176231360145	32.7383642114776	5.72751920469951
"25.187.7"	7	"wt"	"7_wt"	"m"	164	79.15	46.92	100	0.0760952277421459	57.5932166539841	0.391346885531036	0.0543537341015328	39.2760082617676	2.4894010218502	0.0434829872812262	0.0760952277421459	0.0760952277421459	0.413088379171649	3.09816284378737	56.7452984020002	1.88063919991303	33.2753560169584	0.0543537341015328	0.195673442765518	0.0326122404609197	0.0434829872812262	0.391346885531036	0.0760952277421459	0.847918251983911	2.86987716056093	0.0434829872812262	0	56.7452984020002	1.88063919991303	33.2753560169584	0.0760952277421459	0.0543537341015328	0.0652244809218393	0.0326122404609197	3.09816284378737	0.391346885531036	0.413088379171649	0.0760952277421459	0.847918251983911	0.130448961843679	2.86987716056093	0.0434829872812262	0	2.76116969235786	0.0760952277421459	0.0543537341015328	0.0652244809218393	0.0326122404609197	0.336993151429503	20.3065550603326	3.09816284378737	0.260897923687357	44.1026198499837	1.9893466681161	6.31590390259811	6.18545494075443	0.391346885531036	1.88063919991303	0.413088379171649	0.0760952277421459	1.57625828894445	0.847918251983911	6.18545494075444	0.130448961843679	2.86987716056093	6.31590390259811	0.0326122404609197	0.804435264702685	0.0434829872812262	0.0326122404609197	2.76116969235786	2.75029894553756	0.0652244809218394	0.554408087835634	0.260897923687357	1.70670725078813	0.750081530601152	0	0	0.0217414936406131	0.336993151429503	0.0760952277421459	0.369605391890423	0.565278834655941	3.09816284378737	0.0543537341015328	0	0.956625720186977	0.380476138710729	0.695727796499619	1.88063919991303	0.0543537341015328	1.18491140341341	0.097836721382759	1.56538754212414	0.391346885531036	0	0.413088379171649	0.0760952277421459	1.57625828894445	0.847918251983911	6.18545494075444	0.130448961843679	0.0652244809218393	2.86987716056093	17.1866507229047	39.6999673877595	3.14164583106859
"18.189.7"	7	"cre"	"7_cre"	"f"	132	53.61	27.59	100	0.294165713351855	59.8954077463638	0.081712698153293	0.0490276188919758	37.0321948030724	2.6474914201667	0	0	0.294165713351855	0.621016505965027	8.84131394018631	59.1436509233535	1.24203301193006	28.0601405458408	0.0490276188919758	0.784441902271613	0.0490276188919758	0	0.081712698153293	0	0.751756823010296	0.081712698153293	0	0	59.1436509233535	1.24203301193006	28.0601405458408	0.294165713351855	0.0490276188919758	0.11439777741461	0.0490276188919758	8.84131394018631	0.081712698153293	0.621016505965027	0	0.751756823010296	0.670044124857003	0.081712698153293	0	0	2.27161300866155	0.294165713351855	0.0490276188919758	0.11439777741461	0.0490276188919758	0.147082856675927	19.0880862886093	8.84131394018631	0	29.6126818107534	1.94476221604837	18.5160974015362	6.32456283706488	0.081712698153293	1.24203301193006	0.621016505965027	0	6.79849648635398	0.751756823010296	2.50040856349077	0.670044124857003	0.081712698153293	18.5160974015362	0.0490276188919758	1.71596666121915	0	0.294165713351855	2.27161300866155	9.02108187612355	0.343193332243831	0.277823173721196	0	0.915182219316881	0.11439777741461	0	0	0.0326850792613172	0.147082856675927	0	1.12763523451544	0.0163425396306586	8.84131394018631	0.0490276188919758	0	1.86304951789509	0.441248570027783	0.294165713351855	1.24203301193006	0.261480634090538	0.22879555482922	0	0.130740317045269	0.081712698153293	0	0.621016505965027	0	6.79849648635398	0.751756823010296	2.50040856349077	0.670044124857003	0.11439777741461	0.081712698153293	18.0421637522471	18.4343847033829	3.7097564961595
"19.190.7"	7	"cre"	"7_cre"	"f"	152	66.59	34.4	100	0.0638637573177222	34.6993081426291	0.244811069717935	0.0957956359765833	57.7967003725386	5.82224587546567	0.468334220329963	0.808940926024481	0.0638637573177222	3.75731772219266	2.72485364555614	34.3480574773816	0.329962746141564	53.2623736029803	0.0957956359765833	1.73496540713145	0.0851516764236296	0.468334220329963	0.244811069717935	0.808940926024481	0.351250665247472	1.7243214475785	0.468334220329963	0	34.3480574773816	0.329962746141564	53.2623736029803	0.0638637573177222	0.0957956359765833	0.478978179882916	0.0851516764236296	2.72485364555614	0.244811069717935	3.75731772219266	0.808940926024481	0.351250665247472	1.25598722724853	1.7243214475785	0.468334220329963	0	0.936668440659925	0.0638637573177222	0.0957956359765833	0.478978179882916	0.0851516764236296	0.0638637573177222	33.783927621075	2.72485364555614	0	12.7088877062267	1.45822245875466	17.6157530601384	17.8179882916445	0.244811069717935	0.329962746141564	3.75731772219266	0.808940926024481	1.62852581160192	0.351250665247472	1.59659393294305	1.25598722724853	1.7243214475785	17.6157530601384	0.0851516764236296	0.361894624800426	0.468334220329963	0.138371474188398	0.936668440659925	0.840872804683342	0.457690260777009	0.957956359765833	0	3.39542309739223	0.106439595529537	0.0638637573177222	0	0.0425758382118148	0.0638637573177222	0	1.75625332623736	0.149015433741352	2.72485364555614	0.0957956359765833	0	3.05481639169772	3.11868014901543	0.234167110164981	0.329962746141564	0.0212879191059074	1.09632783395423	0	0.585417775412453	0.244811069717935	0	3.75731772219266	0.808940926024481	1.62852581160192	0.351250665247472	1.59659393294305	1.25598722724853	0.415114422565194	1.7243214475785	30.1330494944119	8.57903139968068	10.803618946248
"12.192.5"	5	"wt"	"5_wt"	"m"	168	83.64	48.71	100	0.0947867298578199	46.0347551342812	0.0842548709847288	0.410742496050553	51.4270668773038	1.40073723012112	0.0421274354923644	0.505529225908373	0.0947867298578199	0	7.25645076355977	45.2764612954186	0.832016850974197	42.4644549763033	0.410742496050553	0.568720379146919	0	0.0421274354923644	0.0842548709847288	0.505529225908373	0.75829383886256	1.70616113744076	0.0421274354923644	0	45.2764612954186	0.832016850974197	42.4644549763033	0.0947867298578199	0.410742496050553	0.115850447604002	0	7.25645076355977	0.0842548709847288	0	0.505529225908373	0.75829383886256	0.452869931542917	1.70616113744076	0.0421274354923644	0	1.85360716166404	0.0947867298578199	0.410742496050553	0.115850447604002	0	0.210637177461822	29.7314375987362	7.25645076355977	0	30.0368615060558	0.368615060558189	12.2801474460242	8.45708267509215	0.0842548709847288	0.832016850974197	0	0.505529225908373	0.737230121116377	0.75829383886256	4.06529752501316	0.452869931542917	1.70616113744076	12.2801474460242	0	0.157977883096367	0.0421274354923644	0.0842548709847288	1.85360716166404	4.16008425487099	0.221169036334913	0.18957345971564	0	1.3059505002633	0.421274354923644	0	0.179041600842549	0.0947867298578199	0.210637177461822	0.0315955766192733	0.684570826750922	1.2954186413902	7.25645076355977	0.410742496050553	0	1.73775671406003	0.76882569773565	0.242232754081095	0.832016850974197	0	0.210637177461822	0.452869931542917	2.32754081095313	0.0842548709847288	0	0	0.505529225908373	0.737230121116377	0.75829383886256	4.06529752501316	0.452869931542917	0.115850447604002	1.70616113744076	26.0768825697736	23.8967877830437	4.14955239599789
