SampleID	slope
11.191.5	9.42071072121155
59.213.12	9.38446011708558
24.185.7	9.0932927070389
3.189.5	8.81867136547794
44.196.9	8.51579232568054
9.185.5	8.50952178454983
23.218.7	8.47829822360583
18.189.7	8.300176466137
52.218.10	8.13932853493449
7.213.5	8.02267658210056
8.218.5	7.96856920310714
62.191.12	7.75778412920187
4.190.5	7.46703618539868
53.191.10	7.24595416705228
32.189.9	7.0258376042797
37.218.9	6.57515841378131
30.186.9	6.38904508292424
28.195.7	6.28898927465616
14.195.5	6.24540883456436
47.189.10	6.09049476429786
36.213.9	5.93739506813395
58.203.12	5.82628049598637
40.191.9	5.80115597856789
34.193.9	5.73660621165965
63.192.12	5.45412383892449
22.213.7	5.4324439819305
16.186.7	5.12727981584914
48.190.10	5.10624125077788
20.193.7	42.5909537343578
15.196.5	4.99995169381921
35.203.9	4.93005441690499
66.196.12	4.91671348970939
38.185.9	4.7854237844646
25.187.7	4.72539375730113
29.196.7	4.65828703074564
1.186.5	4.64398019126079
27.192.7	4.4361867732317
65.195.12	4.40104001138229
43.195.9	4.360040937397
17.188.7	4.20389747292242
56.188.12	4.14261033062621
5.193.5	3.82025302206898
13.194.5	3.76361595084629
60.218.12	3.76077656380994
2.188.5	3.6797842129435
33.190.9	3.62967889174999
6.203.5	3.62090202616261
42.194.9	3.60263232996272
54.194.10	3.53150856888112
61.185.12	3.52755871030422
12.192.5	3.52239611540722
49.193.10	3.43522328088682
45.186.10	3.40314030393364
50.203.10	3.32380760953851
55.195.10	3.1706498265068
57.193.12	3.1269974778088
19.190.7	2.96243388989427
41.192.9	2.94014173622557
10.187.5	2.65223838294605
64.194.12	17.1608014062264
21.203.7	16.236949464201
46.188.10	1000
31.188.9	10.4354214800141
51.213.10	10.4213829741477
39.187.9	1.73349166972875
