	measure	Group1	Group2	pvalue	corrected
122	c__Mollicutes	12_wt	9_cre	NA	NA
123	c__Mollicutes	12_wt	9_wt	1	1
124	c__Mollicutes	5_cre	5_wt	1	1
125	c__Mollicutes	5_cre	7_cre	NA	NA
126	c__Mollicutes	5_cre	7_wt	NA	NA
127	c__Mollicutes	5_cre	9_cre	1	1
128	c__Mollicutes	5_cre	9_wt	NA	NA
129	c__Mollicutes	5_wt	7_cre	NA	NA
130	c__Mollicutes	5_wt	7_wt	NA	NA
131	c__Mollicutes	5_wt	9_cre	0.5	1
132	c__Mollicutes	5_wt	9_wt	NA	NA
133	c__Mollicutes	7_cre	7_wt	NA	NA
134	c__Mollicutes	7_cre	9_cre	NA	NA
135	c__Mollicutes	7_cre	9_wt	NA	NA
136	c__Mollicutes	7_wt	9_cre	NA	NA
137	c__Mollicutes	7_wt	9_wt	NA	NA
138	c__Mollicutes	9_cre	9_wt	NA	NA
139	o__Anaeroplasmatales	 -	- 	0.0206	0.1991
140	o__Anaeroplasmatales	10_cre	10_wt	NA	NA
141	o__Anaeroplasmatales	10_cre	12_cre	NA	NA
142	o__Anaeroplasmatales	10_cre	12_wt	1	1
143	o__Anaeroplasmatales	10_cre	5_cre	1	1
144	o__Anaeroplasmatales	10_cre	5_wt	1	1
145	o__Anaeroplasmatales	10_cre	7_cre	NA	NA
146	o__Anaeroplasmatales	10_cre	7_wt	NA	NA
147	o__Anaeroplasmatales	10_cre	9_cre	1	1
148	o__Anaeroplasmatales	10_cre	9_wt	1	1
149	o__Anaeroplasmatales	10_wt	12_cre	NA	NA
150	o__Anaeroplasmatales	10_wt	12_wt	NA	NA
151	o__Anaeroplasmatales	10_wt	5_cre	NA	NA
152	o__Anaeroplasmatales	10_wt	5_wt	NA	NA
153	o__Anaeroplasmatales	10_wt	7_cre	NA	NA
154	o__Anaeroplasmatales	10_wt	7_wt	NA	NA
155	o__Anaeroplasmatales	10_wt	9_cre	NA	NA
156	o__Anaeroplasmatales	10_wt	9_wt	NA	NA
157	o__Anaeroplasmatales	12_cre	12_wt	NA	NA
158	o__Anaeroplasmatales	12_cre	5_cre	NA	NA
159	o__Anaeroplasmatales	12_cre	5_wt	NA	NA
160	o__Anaeroplasmatales	12_cre	7_cre	1	1
161	o__Anaeroplasmatales	12_cre	7_wt	NA	NA
162	o__Anaeroplasmatales	12_cre	9_cre	NA	NA
163	o__Anaeroplasmatales	12_cre	9_wt	NA	NA
164	o__Anaeroplasmatales	12_wt	5_cre	NA	NA
165	o__Anaeroplasmatales	12_wt	5_wt	NA	NA
166	o__Anaeroplasmatales	12_wt	7_cre	NA	NA
167	o__Anaeroplasmatales	12_wt	7_wt	NA	NA
168	o__Anaeroplasmatales	12_wt	9_cre	NA	NA
169	o__Anaeroplasmatales	12_wt	9_wt	1	1
170	o__Anaeroplasmatales	5_cre	5_wt	1	1
171	o__Anaeroplasmatales	5_cre	7_cre	NA	NA
172	o__Anaeroplasmatales	5_cre	7_wt	NA	NA
173	o__Anaeroplasmatales	5_cre	9_cre	1	1
174	o__Anaeroplasmatales	5_cre	9_wt	NA	NA
175	o__Anaeroplasmatales	5_wt	7_cre	NA	NA
176	o__Anaeroplasmatales	5_wt	7_wt	NA	NA
177	o__Anaeroplasmatales	5_wt	9_cre	0.5	1
178	o__Anaeroplasmatales	5_wt	9_wt	NA	NA
179	o__Anaeroplasmatales	7_cre	7_wt	NA	NA
180	o__Anaeroplasmatales	7_cre	9_cre	NA	NA
181	o__Anaeroplasmatales	7_cre	9_wt	NA	NA
182	o__Anaeroplasmatales	7_wt	9_cre	NA	NA
183	o__Anaeroplasmatales	7_wt	9_wt	NA	NA
184	o__Anaeroplasmatales	9_cre	9_wt	NA	NA
185	o__Desulfovibrionales	 -	- 	0	0
186	o__Desulfovibrionales	10_cre	10_wt	0.5	1
187	o__Desulfovibrionales	10_cre	12_cre	1	1
188	o__Desulfovibrionales	10_cre	12_wt	0.75	1
189	o__Desulfovibrionales	10_cre	5_cre	NA	NA
190	o__Desulfovibrionales	10_cre	5_wt	1	1
191	o__Desulfovibrionales	10_cre	7_cre	1	1
