	measure	Group1	Group2	pvalue	corrected
1045	o__Bacteroidales	10_wt	12_cre	0.6817	1
1046	o__Bacteroidales	10_wt	12_wt	0.427	1
1047	o__Bacteroidales	10_wt	5_cre	0.1281	1
1048	o__Bacteroidales	10_wt	5_wt	0.2451	1
1049	o__Bacteroidales	10_wt	7_cre	0.1281	1
1050	o__Bacteroidales	10_wt	7_wt	0.6817	1
1051	o__Bacteroidales	10_wt	9_cre	0.1281	1
1052	o__Bacteroidales	10_wt	9_wt	0.2451	1
1053	o__Bacteroidales	12_cre	12_wt	1	1
1054	o__Bacteroidales	12_cre	5_cre	0.4621	1
1055	o__Bacteroidales	12_cre	5_wt	0.7104	1
1056	o__Bacteroidales	12_cre	7_cre	0.4621	1
1057	o__Bacteroidales	12_cre	7_wt	1	1
1058	o__Bacteroidales	12_cre	9_cre	0.4621	1
1059	o__Bacteroidales	12_cre	9_wt	0.7104	1
1060	o__Bacteroidales	12_wt	5_cre	0.7152	1
1061	o__Bacteroidales	12_wt	5_wt	1	1
1062	o__Bacteroidales	12_wt	7_cre	0.7152	1
1063	o__Bacteroidales	12_wt	7_wt	1	1
1064	o__Bacteroidales	12_wt	9_cre	0.7152	1
1065	o__Bacteroidales	12_wt	9_wt	1	1
1066	o__Bacteroidales	5_cre	5_wt	1	1
1067	o__Bacteroidales	5_cre	7_cre	1	1
1068	o__Bacteroidales	5_cre	7_wt	0.4621	1
1069	o__Bacteroidales	5_cre	9_cre	1	1
1070	o__Bacteroidales	5_cre	9_wt	1	1
1071	o__Bacteroidales	5_wt	7_cre	1	1
1072	o__Bacteroidales	5_wt	7_wt	0.7104	1
1073	o__Bacteroidales	5_wt	9_cre	1	1
1074	o__Bacteroidales	5_wt	9_wt	1	1
1075	o__Bacteroidales	7_cre	7_wt	0.4621	1
1076	o__Bacteroidales	7_cre	9_cre	1	1
1077	o__Bacteroidales	7_cre	9_wt	1	1
1078	o__Bacteroidales	7_wt	9_cre	0.4621	1
1079	o__Bacteroidales	7_wt	9_wt	0.7104	1
1080	o__Bacteroidales	9_cre	9_wt	1	1
1081	o__Burkholderiales	10_cre	10_wt	0.2451	1
1082	o__Burkholderiales	10_cre	12_cre	0.4497	1
1083	o__Burkholderiales	10_cre	12_wt	1	1
1084	o__Burkholderiales	10_cre	5_cre	1	1
1085	o__Burkholderiales	10_cre	5_wt	1	1
1086	o__Burkholderiales	10_cre	7_cre	1	1
1087	o__Burkholderiales	10_cre	7_wt	0.7104	1
1088	o__Burkholderiales	10_cre	9_cre	1	1
1089	o__Burkholderiales	10_cre	9_wt	1	1
1090	o__Burkholderiales	10_wt	12_cre	1	1
1091	o__Burkholderiales	10_wt	12_wt	0.427	1
1092	o__Burkholderiales	10_wt	5_cre	0.427	1
1093	o__Burkholderiales	10_wt	5_wt	0.2451	1
1094	o__Burkholderiales	10_wt	7_cre	0.1281	1
1095	o__Burkholderiales	10_wt	7_wt	0.6817	1
1096	o__Burkholderiales	10_wt	9_cre	0.1281	1
1097	o__Burkholderiales	10_wt	9_wt	0.2451	1
1098	o__Burkholderiales	12_cre	12_wt	0.6999	1
1099	o__Burkholderiales	12_cre	5_cre	0.6999	1
1100	o__Burkholderiales	12_cre	5_wt	0.4497	1
1101	o__Burkholderiales	12_cre	7_cre	0.2635	1
1102	o__Burkholderiales	12_cre	7_wt	1	1
1103	o__Burkholderiales	12_cre	9_cre	0.2635	1
1104	o__Burkholderiales	12_cre	9_wt	0.4497	1
1105	o__Burkholderiales	12_wt	5_cre	1	1
1106	o__Burkholderiales	12_wt	5_wt	1	1
1107	o__Burkholderiales	12_wt	7_cre	0.7152	1
