	measure	Group1	Group2	pvalue	corrected
133	OTU_19	7_cre	7_wt	0.5	1
134	OTU_19	7_cre	9_cre	0.125	1
135	OTU_19	7_cre	9_wt	0.25	1
136	OTU_19	7_wt	9_cre	1	1
137	OTU_19	7_wt	9_wt	0.75	1
138	OTU_19	9_cre	9_wt	0.625	1
139	OTU_14	 -	- 	0	0
140	OTU_14	10_cre	10_wt	1	1
141	OTU_14	10_cre	12_cre	1	1
142	OTU_14	10_cre	12_wt	0.5	1
143	OTU_14	10_cre	5_cre	1	1
144	OTU_14	10_cre	5_wt	0.25	1
145	OTU_14	10_cre	7_cre	1	1
146	OTU_14	10_cre	7_wt	0.5	1
147	OTU_14	10_cre	9_cre	NA	NA
148	OTU_14	10_cre	9_wt	1	1
149	OTU_14	10_wt	12_cre	1	1
150	OTU_14	10_wt	12_wt	1	1
151	OTU_14	10_wt	5_cre	0.5	1
152	OTU_14	10_wt	5_wt	0.25	1
153	OTU_14	10_wt	7_cre	1	1
154	OTU_14	10_wt	7_wt	0.5	1
155	OTU_14	10_wt	9_cre	1	1
156	OTU_14	10_wt	9_wt	0.5	1
157	OTU_14	12_cre	12_wt	0.25	1
158	OTU_14	12_cre	5_cre	1	1
159	OTU_14	12_cre	5_wt	0.75	1
160	OTU_14	12_cre	7_cre	1	1
161	OTU_14	12_cre	7_wt	0.25	1
162	OTU_14	12_cre	9_cre	NA	NA
163	OTU_14	12_cre	9_wt	0.75	1
164	OTU_14	12_wt	5_cre	0.125	1
165	OTU_14	12_wt	5_wt	0.4375	1
166	OTU_14	12_wt	7_cre	1	1
167	OTU_14	12_wt	7_wt	0.625	1
168	OTU_14	12_wt	9_cre	1	1
169	OTU_14	12_wt	9_wt	0.8438	1
170	OTU_14	5_cre	5_wt	0.8125	1
171	OTU_14	5_cre	7_cre	1	1
172	OTU_14	5_cre	7_wt	0.125	1
173	OTU_14	5_cre	9_cre	1	1
174	OTU_14	5_cre	9_wt	0.4375	1
175	OTU_14	5_wt	7_cre	1	1
176	OTU_14	5_wt	7_wt	0.125	1
177	OTU_14	5_wt	9_cre	1	1
178	OTU_14	5_wt	9_wt	1	1
179	OTU_14	7_cre	7_wt	1	1
180	OTU_14	7_cre	9_cre	NA	NA
181	OTU_14	7_cre	9_wt	1	1
182	OTU_14	7_wt	9_cre	1	1
183	OTU_14	7_wt	9_wt	0.125	1
184	OTU_14	9_cre	9_wt	1	1
185	OTU_30	 -	- 	1e-04	0.0011
186	OTU_30	10_cre	10_wt	NA	NA
187	OTU_30	10_cre	12_cre	1	1
188	OTU_30	10_cre	12_wt	0.25	0.6731
189	OTU_30	10_cre	5_cre	0.25	0.6731
190	OTU_30	10_cre	5_wt	0.5	0.7955
191	OTU_30	10_cre	7_cre	0.25	0.6731
192	OTU_30	10_cre	7_wt	0.25	0.6731
193	OTU_30	10_cre	9_cre	1	1
194	OTU_30	10_cre	9_wt	0.5	0.7955
195	OTU_30	10_wt	12_cre	NA	NA
196	OTU_30	10_wt	12_wt	NA	NA
197	OTU_30	10_wt	5_cre	NA	NA
198	OTU_30	10_wt	5_wt	NA	NA
199	OTU_30	10_wt	7_cre	NA	NA
200	OTU_30	10_wt	7_wt	NA	NA
201	OTU_30	10_wt	9_cre	NA	NA
202	OTU_30	10_wt	9_wt	NA	NA
203	OTU_30	12_cre	12_wt	NA	NA
204	OTU_30	12_cre	5_cre	0.5	0.7955
205	OTU_30	12_cre	5_wt	0.5	0.7955
206	OTU_30	12_cre	7_cre	1	1
207	OTU_30	12_cre	7_wt	1	1
208	OTU_30	12_cre	9_cre	1	1
209	OTU_30	12_cre	9_wt	1	1
210	OTU_30	12_wt	5_cre	0.25	0.6731
211	OTU_30	12_wt	5_wt	0.5	0.7955
212	OTU_30	12_wt	7_cre	0.25	0.6731
213	OTU_30	12_wt	7_wt	0.5	0.7955
214	OTU_30	12_wt	9_cre	0.25	0.6731
215	OTU_30	12_wt	9_wt	1	1
216	OTU_30	5_cre	5_wt	0.5625	0.856
217	OTU_30	5_cre	7_cre	0.8438	1
218	OTU_30	5_cre	7_wt	1	1
219	OTU_30	5_cre	9_cre	0.0625	0.6731
220	OTU_30	5_cre	9_wt	0.125	0.6731
221	OTU_30	5_wt	7_cre	1	1
222	OTU_30	5_wt	7_wt	0.5	0.7955
223	OTU_30	5_wt	9_cre	0.125	0.6731
224	OTU_30	5_wt	9_wt	0.25	0.6731
225	OTU_30	7_cre	7_wt	0.5	0.7955
226	OTU_30	7_cre	9_cre	0.125	0.6731
227	OTU_30	7_cre	9_wt	0.375	0.7955
228	OTU_30	7_wt	9_cre	0.25	0.6731
229	OTU_30	7_wt	9_wt	1	1
230	OTU_30	9_cre	9_wt	1	1
231	OTU_15	 -	- 	1e-04	0.0011
232	OTU_15	10_cre	10_wt	0.5	1
233	OTU_15	10_cre	12_cre	1	1
234	OTU_15	10_cre	12_wt	0.75	1
235	OTU_15	10_cre	5_cre	1	1
236	OTU_15	10_cre	5_wt	1	1
237	OTU_15	10_cre	7_cre	1	1
238	OTU_15	10_cre	7_wt	0.5	1
239	OTU_15	10_cre	9_cre	0.25	1
240	OTU_15	10_cre	9_wt	0.5	1
241	OTU_15	10_wt	12_cre	1	1
242	OTU_15	10_wt	12_wt	1	1
243	OTU_15	10_wt	5_cre	NA	NA
244	OTU_15	10_wt	5_wt	0.5	1
245	OTU_15	10_wt	7_cre	1	1
246	OTU_15	10_wt	7_wt	1	1
247	OTU_15	10_wt	9_cre	1	1
248	OTU_15	10_wt	9_wt	0.5	1
249	OTU_15	12_cre	12_wt	1	1
250	OTU_15	12_cre	5_cre	1	1
251	OTU_15	12_cre	5_wt	1	1
252	OTU_15	12_cre	7_cre	NA	NA
253	OTU_15	12_cre	7_wt	0.5	1
254	OTU_15	12_cre	9_cre	1	1
255	OTU_15	12_cre	9_wt	1	1
256	OTU_15	12_wt	5_cre	NA	NA
257	OTU_15	12_wt	5_wt	1	1
258	OTU_15	12_wt	7_cre	0.5	1
259	OTU_15	12_wt	7_wt	0.5	1
260	OTU_15	12_wt	9_cre	0.5	1
261	OTU_15	12_wt	9_wt	1	1
262	OTU_15	5_cre	5_wt	NA	NA
263	OTU_15	5_cre	7_cre	NA	NA
264	OTU_15	5_cre	7_wt	1	1
265	OTU_15	5_cre	9_cre	0.5	1
266	OTU_15	5_cre	9_wt	1	1
267	OTU_15	5_wt	7_cre	NA	NA
268	OTU_15	5_wt	7_wt	1	1
269	OTU_15	5_wt	9_cre	1	1
270	OTU_15	5_wt	9_wt	1	1
271	OTU_15	7_cre	7_wt	1	1
272	OTU_15	7_cre	9_cre	1	1
273	OTU_15	7_cre	9_wt	1	1
274	OTU_15	7_wt	9_cre	0.5	1
275	OTU_15	7_wt	9_wt	1	1
276	OTU_15	9_cre	9_wt	0.5	1
277	OTU_24	 -	- 	1e-04	0.0011
278	OTU_24	10_cre	10_wt	1	1
279	OTU_24	10_cre	12_cre	NA	NA
280	OTU_24	10_cre	12_wt	0.5	1
281	OTU_24	10_cre	5_cre	1	1
282	OTU_24	10_cre	5_wt	0.5	1
283	OTU_24	10_cre	7_cre	1	1
284	OTU_24	10_cre	7_wt	1	1
285	OTU_24	10_cre	9_cre	1	1
286	OTU_24	10_cre	9_wt	0.75	1
287	OTU_24	10_wt	12_cre	1	1
288	OTU_24	10_wt	12_wt	0.75	1
289	OTU_24	10_wt	5_cre	NA	NA
290	OTU_24	10_wt	5_wt	1	1
291	OTU_24	10_wt	7_cre	1	1
292	OTU_24	10_wt	7_wt	1	1
293	OTU_24	10_wt	9_cre	1	1
294	OTU_24	10_wt	9_wt	1	1
295	OTU_24	12_cre	12_wt	1	1
296	OTU_24	12_cre	5_cre	NA	NA
297	OTU_24	12_cre	5_wt	1	1
298	OTU_24	12_cre	7_cre	1	1
299	OTU_24	12_cre	7_wt	1	1
300	OTU_24	12_cre	9_cre	1	1
301	OTU_24	12_cre	9_wt	1	1
302	OTU_24	12_wt	5_cre	0.5	1
303	OTU_24	12_wt	5_wt	1	1
304	OTU_24	12_wt	7_cre	1	1
305	OTU_24	12_wt	7_wt	0.5	1
306	OTU_24	12_wt	9_cre	1	1
307	OTU_24	12_wt	9_wt	1	1
308	OTU_24	5_cre	5_wt	0.5	1
309	OTU_24	5_cre	7_cre	1	1
310	OTU_24	5_cre	7_wt	1	1
