	measure	Group1	Group2	pvalue	corrected
115	Simpson.effective	12_wt	5_cre	0.7152	1
116	Simpson.effective	12_wt	5_wt	1	1
117	Simpson.effective	12_wt	7_cre	0.7152	1
118	Simpson.effective	12_wt	7_wt	1	1
119	Simpson.effective	12_wt	9_cre	0.7152	1
120	Simpson.effective	12_wt	9_wt	1	1
121	Simpson.effective	5_cre	5_wt	1	1
122	Simpson.effective	5_cre	7_cre	1	1
123	Simpson.effective	5_cre	7_wt	0.4621	1
124	Simpson.effective	5_cre	9_cre	1	1
125	Simpson.effective	5_cre	9_wt	1	1
126	Simpson.effective	5_wt	7_cre	1	1
127	Simpson.effective	5_wt	7_wt	0.7104	1
128	Simpson.effective	5_wt	9_cre	1	1
129	Simpson.effective	5_wt	9_wt	1	1
130	Simpson.effective	7_cre	7_wt	0.4621	1
131	Simpson.effective	7_cre	9_cre	1	1
132	Simpson.effective	7_cre	9_wt	1	1
133	Simpson.effective	7_wt	9_cre	0.4621	1
134	Simpson.effective	7_wt	9_wt	0.7104	1
135	Simpson.effective	9_cre	9_wt	1	1
136	OTU_1	10_cre	10_wt	0.2451	1
137	OTU_1	10_cre	12_cre	0.4497	1
138	OTU_1	10_cre	12_wt	1	1
139	OTU_1	10_cre	5_cre	1	1
140	OTU_1	10_cre	5_wt	1	1
141	OTU_1	10_cre	7_cre	1	1
142	OTU_1	10_cre	7_wt	0.7104	1
143	OTU_1	10_cre	9_cre	1	1
144	OTU_1	10_cre	9_wt	1	1
145	OTU_1	10_wt	12_cre	1	1
146	OTU_1	10_wt	12_wt	0.427	1
147	OTU_1	10_wt	5_cre	0.2451	1
148	OTU_1	10_wt	5_wt	0.2451	1
149	OTU_1	10_wt	7_cre	0.1281	1
150	OTU_1	10_wt	7_wt	0.6817	1
151	OTU_1	10_wt	9_cre	0.1281	1
152	OTU_1	10_wt	9_wt	0.2451	1
153	OTU_1	12_cre	12_wt	0.6999	1
154	OTU_1	12_cre	5_cre	0.4497	1
155	OTU_1	12_cre	5_wt	0.4497	1
156	OTU_1	12_cre	7_cre	0.2635	1
157	OTU_1	12_cre	7_wt	1	1
158	OTU_1	12_cre	9_cre	0.2635	1
159	OTU_1	12_cre	9_wt	0.4497	1
160	OTU_1	12_wt	5_cre	1	1
161	OTU_1	12_wt	5_wt	1	1
162	OTU_1	12_wt	7_cre	0.7152	1
163	OTU_1	12_wt	7_wt	1	1
164	OTU_1	12_wt	9_cre	0.7152	1
165	OTU_1	12_wt	9_wt	1	1
166	OTU_1	5_cre	5_wt	1	1
167	OTU_1	5_cre	7_cre	1	1
168	OTU_1	5_cre	7_wt	0.7104	1
169	OTU_1	5_cre	9_cre	1	1
170	OTU_1	5_cre	9_wt	1	1
171	OTU_1	5_wt	7_cre	1	1
172	OTU_1	5_wt	7_wt	0.7104	1
173	OTU_1	5_wt	9_cre	1	1
174	OTU_1	5_wt	9_wt	1	1
175	OTU_1	7_cre	7_wt	0.4621	1
176	OTU_1	7_cre	9_cre	1	1
177	OTU_1	7_cre	9_wt	1	1
178	OTU_1	7_wt	9_cre	0.4621	1
179	OTU_1	7_wt	9_wt	0.7104	1
180	OTU_1	9_cre	9_wt	1	1
181	OTU_5	10_cre	10_wt	0.2451	1
182	OTU_5	10_cre	12_cre	0.7104	1
183	OTU_5	10_cre	12_wt	0.4497	1
184	OTU_5	10_cre	5_cre	1	1
185	OTU_5	10_cre	5_wt	1	1
186	OTU_5	10_cre	7_cre	1	1
187	OTU_5	10_cre	7_wt	0.7104	1
188	OTU_5	10_cre	9_cre	1	1
189	OTU_5	10_cre	9_wt	1	1
