	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_126	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_56	OTU_49	OTU_7	OTU_42	OTU_55	OTU_92	OTU_8	OTU_66	OTU_65	OTU_195	OTU_180	OTU_32	OTU_28	OTU_68	OTU_48	OTU_86	OTU_75	OTU_397	OTU_74	OTU_93	OTU_77	OTU_88	OTU_37	OTU_127	OTU_38	OTU_94	OTU_51	OTU_36	OTU_34	OTU_3	OTU_53	OTU_22	OTU_281	OTU_27	OTU_58	OTU_44
50.203.10	167	81.08	40.27	NA	1.788891085	0.59300257	6.137576596	NA	0.948804111	NA	1.037754497	1.294722277	NA	1.067404625	0.632536074	1.44297292	NA	NA	NA	0.543585689	NA	NA	NA	NA	NA	0.563352441	NA	NA	NA	1.10693813	NA	3.469065033	NA	NA	NA	0.711603084	2.648744811	1.324372406	NA	NA	2.826645582	NA	2.352243526	NA	NA	NA	NA	2.895829215	0.998220992	NA	NA	NA	1.186005139	10.32812809	NA	NA	1.57145681	NA	0.731369836	NA	NA	NA	1.116821506	NA	1.522039929	NA	NA	NA	NA	NA	1.531923305	2.490610793	1.304605653	NA	NA	0.741253212	NA
44.196.9	163	76.11	47.59	2.601716025	2.352615555	2.767783006	1.702186549	1.978964849	NA	NA	0.567395516	0.622751176	1.702186549	4.317741489	3.778023803	6.102961528	1.190146692	2.850816496	1.895931359	NA	0.608912261	2.241904235	NA	NA	1.356213673	0.761140327	2.31109881	3.667312483	2.698588431	0.678106836	0.553556601	NA	NA	1.480763908	NA	2.809299751	NA	NA	0.858012732	NA	0.553556601	0.927207307	NA	0.595073346	NA	NA	0.691945751	NA	NA	NA	0.913368392	NA	NA	0.719623582	NA	NA	NA	1.494602823	NA	NA	0.858012732	NA	NA	NA	NA	NA	NA	NA	1.190146692	3.681151398	3.293661777	1.203985608	NA	0.705784666	NA	1.093274287	2.601716025
10.187.5	172	76.17	38.4	5.566801619	1.862348178	NA	2.611336032	NA	NA	NA	NA	1.315789474	0.850202429	NA	NA	2.9048583	0.698380567	NA	0.556680162	NA	NA	1.214574899	0.799595142	NA	0.516194332	0.870445344	1.751012146	1.082995951	1.093117409	0.516194332	NA	1.609311741	0.870445344	0.789473684	NA	1.032388664	0.971659919	1.295546559	NA	NA	7.277327935	0.506072874	NA	NA	NA	NA	NA	2.01417004	NA	NA	NA	NA	0.738866397	NA	1.153846154	NA	NA	NA	NA	6.589068826	NA	NA	NA	NA	NA	NA	1.163967611	NA	NA	1.761133603	3.522267206	0.566801619	0.991902834	0.829959514	7.236842105	NA	NA
21.203.7	120	47.2	27.36	0.823384109	3.643474681	5.825442569	2.923013586	3.684643886	3.355290243	3.10827501	NA	0.946891725	1.770275834	NA	2.778921367	10.93042404	7.266364759	3.869905311	2.984767394	0.596953479	0.843968711	NA	1.399752985	NA	1.235076163	NA	0.514615068	3.211198024	3.581720873	NA	0.514615068	NA	NA	NA	NA	1.770275834	NA	0.699876492	NA	NA	NA	NA	0.658707287	0.67929189	NA	0.967476328	3.005351997	NA	3.355290243	1.399752985	NA	NA	NA	NA	0.967476328	NA	NA	NA	NA	NA	NA	NA	0.514615068	1.132153149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38.185.9	167	81.86	48.87	4.193345888	1.983678594	0.841180163	1.782799749	0.991839297	NA	NA	NA	1.054613936	0.853735091	1.958568738	NA	0.828625235	0.728185813	1.506591337	NA	NA	0.853735091	6.553672316	1.02950408	1.406151915	NA	4.808537351	4.005021971	0.866290019	1.155053358	2.397991212	0.878844947	0.640301318	NA	4.055241682	NA	1.468926554	NA	NA	0.502197112	0.69052103	0.51475204	NA	NA	NA	0.539861896	0.728185813	1.632140615	2.385436284	NA	NA	NA	1.83301946	0.703075957	1.657250471	NA	NA	NA	NA	NA	NA	0.62774639	NA	NA	NA	1.067168864	NA	NA	1.142498431	1.996233522	1.556811048	NA	NA	2.071563089	0.502197112	NA	1.004394225	3.377275581
61.185.12	169	72.08	39.24	3.796568876	2.53781342	NA	1.207999188	0.873007816	NA	NA	NA	NA	1.76631814	4.984265557	0.812100294	2.598720942	0.588772713	1.136940412	0.629377728	NA	1.207999188	6.750583697	0.538016445	NA	0.700436504	0.903461578	1.999796975	2.121612019	NA	2.091158258	0.568470206	0.88315907	NA	4.466551619	NA	3.522485027	NA	NA	0.77149528	NA	2.111460765	0.751192772	NA	1.695259365	NA	0.700436504	0.852705309	NA	NA	NA	NA	0.507562684	NA	NA	NA	NA	NA	NA	NA	NA	1.441478023	NA	NA	NA	NA	0.558318952	NA	0.751192772	NA	1.431326769	7.745406558	NA	3.187493655	0.77149528	NA	1.228301695	1.187696681
58.203.12	166	89.41	50.13	NA	4.117448532	1.428732141	8.043649454	NA	1.372482844	NA	1.518731016	1.338733266	0.686241422	NA	1.158735516	1.248734391	NA	NA	0.663741703	0.584992688	0.89998875	2.33997075	0.697491281	NA	0.618742266	4.51119361	2.216222297	0.91123861	0.506243672	2.024974688	1.25998425	1.721228485	NA	1.428732141	NA	1.203734953	0.866239172	NA	0.584992688	0.843739453	1.316233547	NA	NA	NA	1.113736078	1.181235235	NA	1.597480031	0.629992125	NA	0.652491844	NA	NA	2.71121611	NA	NA	NA	NA	0.956238047	NA	NA	NA	0.584992688	NA	0.708741141	NA	NA	NA	NA	NA	3.644954438	NA	2.5199685	NA	0.573742828	NA	NA
29.196.7	166	75.35	43.61	2.354887984	2.67311609	NA	1.642057026	1.018329939	NA	NA	0.598268839	1.158350305	2.418533605	2.087576375	NA	6.797352342	NA	NA	2.49490835	NA	1.362016293	6.211812627	2.316700611	NA	1.08197556	0.700101833	2.736761711	2.749490835	1.234725051	1.514765784	0.789205703	NA	NA	3.296843177	NA	3.564154786	NA	NA	1.209266802	0.585539715	0.66191446	0.776476578	NA	0.852851324	NA	NA	NA	NA	NA	NA	1.362016293	NA	NA	NA	0.560081466	NA	NA	1.552953157	NA	NA	1.603869654	NA	NA	NA	NA	NA	NA	1.158350305	NA	4.798879837	2.533095723	NA	0.560081466	NA	NA	NA	2.316700611
9.185.5	147	62.75	35.39	3.009293406	3.584599498	4.233662782	0.722820475	1.003097802	NA	NA	0.752323352	NA	1.843929783	NA	NA	4.130402714	0.619560407	0.531051778	0.796577666	NA	0.590057531	8.349314058	1.312878006	NA	0.708069037	1.563652456	5.340020652	1.194866499	3.496090869	4.67620593	0.811329105	0.604808969	0.929340611	5.428529282	NA	2.109455672	NA	NA	1.416138073	NA	NA	0.944092049	NA	NA	0.575306092	NA	NA	1.003097802	NA	NA	0.619560407	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.781826228	NA	NA	NA	NA	NA	NA	NA	NA	3.333825048	1.150612185	NA	1.076854993	NA	NA	0.988346364	3.097802036
11.191.5	146	60.51	33.48	4.23880597	3.970149254	3.149253731	1.28358209	1	NA	NA	0.567164179	0.52238806	3.029850746	NA	NA	5.552238806	0.701492537	NA	0.895522388	NA	NA	8.656716418	1.701492537	NA	0.925373134	2.850746269	5.089552239	2.76119403	0.805970149	3.701492537	NA	NA	0.835820896	6.014925373	NA	2.149253731	NA	0.537313433	0.820895522	NA	NA	0.925373134	NA	NA	NA	NA	NA	NA	NA	NA	0.71641791	NA	NA	0.76119403	NA	NA	NA	NA	NA	NA	1.074626866	0.567164179	NA	NA	NA	NA	NA	NA	NA	3.537313433	1.164179104	NA	0.507462687	NA	1	NA	2.194029851
56.188.12	164	72.54	37.41	8.13050233	0.870015536	0.704298291	5.023303988	NA	1.563956499	0.56965303	0.870015536	1.41895391	0.75608493	0.538581046	NA	7.415846712	NA	0.84930088	NA	NA	NA	NA	NA	NA	NA	1.595028483	0.580010357	NA	0.704298291	NA	NA	1.688244433	1.356809943	NA	NA	NA	0.880372864	3.138270326	NA	0.952874158	4.060072501	NA	NA	NA	NA	NA	NA	1.128948731	NA	NA	NA	NA	1.615743138	1.60538581	0.942516831	5.499741067	0.725012947	NA	1.563956499	0.973588814	NA	0.693940963	1.595028483	2.682547903	NA	NA	NA	0.880372864	2.112894873	NA	0.797514241	1.791817711	NA	NA	NA	NA	NA
43.195.9	176	83.88	46.27	6.183274021	0.856316726	0.622775801	4.559608541	0.978647687	NA	NA	0.645017794	1.112099644	0.756227758	1.31227758	3.647686833	2.835854093	0.989768683	2.902580071	0.778469751	NA	NA	1.345640569	0.611654804	NA	NA	NA	0.722864769	1.256672598	1.189946619	NA	1.901690391	0.889679715	NA	0.667259786	NA	0.856316726	NA	NA	NA	0.567170819	1.456850534	NA	NA	3.881227758	NA	NA	0.622775801	1.334519573	NA	NA	NA	NA	NA	1.81272242	NA	NA	NA	0.678380783	NA	1.935053381	NA	0.822953737	NA	NA	NA	1.078736655	NA	NA	2.46886121	2.101868327	6.472419929	NA	2.835854093	0.678380783	NA	NA	2.846975089
45.186.10	147	63.04	32.6	8.953220859	1.495398773	4.150690184	6.125383436	NA	2.338957055	0.766871166	1.706288344	1.054447853	NA	5.598159509	0.949003067	2.108895706	0.766871166	NA	1.658358896	NA	NA	1.159892638	0.594325153	NA	1.217407975	0.949003067	0.623082822	NA	0.929831288	1.878834356	1.159892638	NA	NA	0.699769939	1.33243865	1.351610429	NA	NA	NA	0.88190184	1.79256135	0.546395706	NA	NA	1.33243865	1.620015337	0.728527607	NA	NA	NA	NA	1.054447853	NA	3.460506135	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.923696319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.55291411	NA	NA
5.193.5	150	69.18	45.92	NA	2.919045148	1.530877011	4.761286975	1.608718215	4.086663207	3.619615983	NA	3.386092372	NA	NA	4.839128179	1.907109497	2.387130254	3.295277634	NA	0.635703166	NA	NA	1.660612351	2.387130254	0.739491437	0.51894136	NA	0.687597302	2.737415672	0.505967826	1.323300467	NA	1.504929943	NA	NA	0.960041515	2.296315516	1.453035807	NA	NA	NA	NA	0.635703166	2.646600934	NA	NA	1.180591593	NA	0.985988583	1.855215361	NA	NA	NA	0.804359107	2.30928905	NA	NA	NA	0.869226777	NA	NA	NA	1.180591593	1.738453555	NA	0.752464971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.973015049
24.185.7	140	45.76	22.03	3.928031864	2.540859772	6.551297899	3.982969372	1.016343909	7.155610493	4.491141327	0.906468892	1.359703337	0.851531383	NA	NA	7.965938745	NA	NA	NA	2.389781623	NA	NA	NA	1.373437715	NA	NA	NA	0.57684384	1.15368768	NA	NA	1.771734652	1.05754704	NA	NA	NA	NA	0.741656366	NA	NA	5.34267271	NA	0.975140777	NA	NA	NA	NA	NA	13.17126768	NA	NA	NA	1.05754704	NA	0.563109463	1.15368768	1.24982832	NA	0.563109463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52.218.10	141	50.51	27.31	6.56308599	2.799357085	6.87114921	5.076346102	NA	3.308331101	2.611840343	1.205464774	1.794803107	1.138494508	NA	0.803643182	9.282078757	NA	NA	0.803643182	3.013661934	NA	NA	0.964371819	2.210018752	1.004553978	NA	NA	0.602732387	0.656308599	NA	NA	NA	NA	NA	NA	NA	0.709884811	0.535762122	NA	1.67425663	1.433163675	NA	1.218858827	4.192338602	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.228234664	NA	NA	0.790249129	NA	NA	NA	NA	0.642914546	NA	NA	NA	0.950977766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37.218.9	119	35.78	19.05	4.529669334	4.892042881	10.9165031	3.382153103	NA	11.18828326	4.69575721	1.479691982	1.977955609	2.370526952	NA	NA	9.633096784	0.739845991	NA	0.800241582	2.944285067	NA	NA	1.056922845	1.132417334	1.132417334	NA	NA	0.6794504	0.996527254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.921032765	NA	NA	6.296240374	NA	NA	NA	NA	NA	NA	NA	0.573758116	NA	NA	0.739845991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48.190.10	152	65.96	32.17	11.83608302	NA	3.81053752	6.226716338	0.606705695	2.61841405	2.735497605	1.405002661	3.82118148	NA	1.969132517	0.798296966	1.415646621	NA	0.862160724	3.480574774	1.096327834	NA	0.585417775	NA	2.895156998	NA	2.86322512	0.691857371	NA	NA	1.021820117	NA	0.71314529	NA	NA	0.9473124	1.43693454	NA	0.627993614	1.405002661	0.500266099	0.777009047	NA	NA	NA	1.341138904	1.085683874	NA	2.011708356	NA	NA	NA	NA	NA	2.416178819	NA	NA	NA	NA	0.71314529	NA	NA	NA	NA	3.384779138	NA	NA	NA	NA	NA	NA	1.628525812	NA	NA	NA	NA	NA	NA
41.192.9	169	88.32	51.28	4.193181818	1.113636364	0.715909091	1.511363636	NA	NA	NA	NA	1.568181818	NA	NA	NA	1.511363636	1.602272727	1.522727273	NA	NA	NA	0.795454545	NA	NA	0.590909091	NA	NA	0.875	1.727272727	NA	NA	0.772727273	1.954545455	0.511363636	NA	0.761363636	NA	1.159090909	NA	0.943181818	7.954545455	NA	NA	NA	NA	NA	NA	NA	0.659090909	NA	NA	NA	1.272727273	0.522727273	0.909090909	NA	NA	NA	NA	NA	NA	1.522727273	0.806818182	1.318181818	NA	NA	0.579545455	NA	0.909090909	2.193181818	2.852272727	1.397727273	NA	NA	3.806818182	1.772727273	NA
40.191.9	151	75.73	42.61	7.786029241	2.784868879	NA	1.427245301	0.754235321	NA	NA	1.021118589	2.053840798	NA	1.346019958	NA	6.764910652	0.510559294	NA	0.522162915	NA	0.777442562	3.980041773	0.893478765	NA	NA	2.517985612	2.750058018	0.661406359	0.661406359	1.40403806	0.847064284	1.798561151	NA	2.436760269	NA	1.462056162	NA	NA	0.522162915	0.997911348	NA	NA	NA	NA	2.552796472	NA	1.009514969	3.051752147	NA	NA	NA	NA	NA	1.41564168	NA	NA	NA	1.496867023	NA	NA	0.870271525	NA	0.533766535	NA	0.858667904	NA	NA	1.06753307	2.924112323	1.76375029	1.508470643	0.510559294	NA	NA	NA	NA	2.889301462
28.195.7	167	73.86	42.55	2.4685948	3.491089687	NA	1.504528192	0.934852469	NA	NA	1.139351446	2.088810985	2.264095822	0.584282793	NA	7.800175285	0.686532282	0.876424189	2.264095822	NA	1.723634239	4.542798715	NA	NA	1.270815074	0.759567631	4.221443178	2.979842244	1.037101957	2.264095822	NA	NA	NA	2.892199825	NA	1.782062518	NA	NA	1.153958516	NA	0.730353491	0.81799591	NA	NA	NA	NA	NA	0.555068653	NA	NA	0.511247444	NA	NA	0.744960561	NA	NA	NA	1.840490798	NA	NA	1.358457493	NA	NA	NA	NA	NA	0.671925212	NA	1.358457493	4.265264388	4.382120947	NA	NA	NA	NA	1.63599182	1.300029214
17.188.7	161	56.58	28.94	6.419630685	1.772214649	6.75424464	5.01920932	NA	9.257652745	5.192712852	0.892303879	1.499566241	NA	NA	NA	2.887594497	NA	NA	0.619655472	1.388028256	NA	NA	NA	NA	NA	NA	NA	NA	1.338455819	NA	NA	NA	NA	NA	NA	NA	NA	3.841863924	NA	0.87991077	NA	NA	0.941876317	6.518775561	NA	NA	NA	1.028628083	NA	NA	NA	0.6568348	0.755979675	NA	2.193580369	3.185029124	0.694014128	NA	NA	1.412814475	NA	NA	NA	NA	NA	2.020076837	NA	0.805552113	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.188.5	150	54.24	25.21	9.754637941	2.433672452	NA	5.216437263	NA	2.32395771	1.585876721	1.376421305	1.924995013	NA	NA	0.688210652	0.867743866	1.3165769	NA	NA	NA	NA	0.578495911	1.346499102	NA	NA	0.738080989	NA	NA	0.867743866	1.944943148	0.857769799	NA	2.104528227	NA	NA	NA	0.688210652	NA	NA	1.336525035	11.0213445	NA	NA	NA	NA	NA	NA	2.423698384	NA	0.568521843	NA	NA	NA	5.066826252	NA	NA	NA	NA	NA	6.602832635	NA	NA	NA	0.748055057	1.077199282	NA	0.708158787	NA	NA	NA	NA	NA	NA	NA	5.256333533	NA	NA
53.191.10	158	69.29	38.34	6.849315068	3.437829294	0.935194942	1.264488936	0.698103267	NA	NA	0.724446786	0.882507903	2.239199157	3.306111697	NA	1.132771338	NA	NA	0.777133825	NA	1.264488936	6.190727081	NA	3.819810327	0.51369863	2.805584826	6.559536354	1.343519494	0.829820864	1.672813488	0.51369863	0.737618546	NA	4.083245522	1.001053741	2.476290832	NA	NA	1.06691254	0.658587987	0.763962065	1.870389884	NA	NA	0.658587987	NA	0.51369863	0.842992624	NA	NA	1.58061117	0.869336143	NA	NA	NA	NA	NA	2.963645943	NA	0.619072708	0.777133825	NA	NA	NA	NA	NA	NA	NA	NA	3.806638567	NA	NA	0.579557429	NA	NA	NA	NA
62.191.12	157	70.18	39.78	6.700361011	3.826714801	1.906137184	1.530685921	1.111913357	0.678700361	NA	0.534296029	0.794223827	2.815884477	2.657039711	NA	2.78700361	0.649819495	NA	0.981949458	NA	0.736462094	4.707581227	0.577617329	1.25631769	0.693140794	1.371841155	7.364620939	2.007220217	2.570397112	0.996389892	0.678700361	0.606498195	NA	2.671480144	NA	2.397111913	NA	NA	0.909747292	0.635379061	0.880866426	1.61732852	NA	NA	NA	0.563176895	0.707581227	NA	NA	NA	1.444043321	NA	NA	NA	NA	NA	NA	3.379061372	NA	NA	0.909747292	NA	0.880866426	NA	NA	NA	NA	0.606498195	NA	4.40433213	NA	NA	NA	0.620938628	NA	0.606498195	1.083032491
59.213.12	123	45.3	24.59	2.172328328	5.511007435	11.88219857	0.670651698	2.682606794	8.149876075	5.000728969	0.758128007	0.743548622	1.997375711	5.992127132	2.770083102	4.679982505	1.13719201	0.743548622	1.734946785	0.976818778	0.933080624	3.411576031	0.88934247	NA	0.787286776	NA	2.813821257	1.939058172	1.399620936	1.44335909	1.005977548	NA	NA	1.837002478	NA	2.755503718	NA	NA	2.02653448	NA	NA	NA	NA	0.597754775	NA	NA	0.976818778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32.189.9	154	76.71	45.49	7.45285456	2.376646861	4.507879101	5.205373289	1.007491604	3.254972875	1.20123999	1.291655903	1.356238698	2.092482563	NA	0.632911392	3.035391372	NA	NA	2.38956342	NA	NA	NA	0.762076983	1.45957117	1.537070524	0.942908809	2.673727719	0.813743219	1.033324722	1.123740635	0.594161715	1.614569879	NA	NA	0.736243865	1.252906226	0.762076983	NA	1.291655903	1.369155257	3.332472229	0.619994833	NA	NA	1.549987083	NA	NA	1.627486438	NA	NA	NA	3.59080341	NA	0.52957892	NA	0.994575045	NA	NA	0.942908809	NA	NA	NA	NA	NA	0.968741927	NA	NA	NA	0.65874451	NA	1.072074399	NA	NA	NA	NA	NA	NA
42.194.9	174	86.45	44.63	5.933969508	0.822639026	NA	2.116924427	NA	NA	NA	NA	1.27234836	NA	0.526488977	NA	2.20467259	NA	0.6471427	0.691016782	NA	NA	NA	NA	1.776900296	NA	NA	0.877481628	0.800701985	0.822639026	NA	0.526488977	2.402105956	NA	NA	NA	0.548426017	NA	NA	NA	0.526488977	1.59043545	NA	NA	5.05648788	NA	NA	NA	NA	NA	NA	NA	NA	0.658111221	2.281452232	0.570363058	NA	NA	NA	0.526488977	1.425907645	0.526488977	NA	1.009103872	0.734890863	NA	1.382033564	NA	1.129757596	3.78413952	1.173631677	8.423823626	NA	2.500822639	0.537457497	NA	1.864648459	NA
49.193.10	142	58.1	32.69	3.243073048	4.534005038	7.504198153	5.247691016	1.532325777	5.510075567	2.886230059	0.997061293	NA	1.259445844	NA	5.153232578	5.100755668	5.866918556	2.046599496	1.983627204	NA	NA	NA	NA	0.545759866	0.51427372	0.745172124	0.692695214	0.67170445	3.631402183	NA	NA	NA	0.587741394	NA	NA	NA	1.091519731	0.72418136	NA	0.965575147	0.535264484	NA	NA	NA	NA	0.713685978	1.3434089	NA	NA	NA	NA	NA	NA	4.114189757	NA	0.850125945	NA	0.839630563	NA	0.703190596	NA	NA	1.269941226	1.049538203	NA	NA	1.154492024	NA	NA	NA	NA	0.755667506	NA	NA	NA	NA	NA
33.190.9	145	56.03	22.8	16.64204825	0.521910389	1.516494338	6.853766617	NA	1.48695224	1.329394387	1.84145741	4.667651403	NA	3.56474643	1.408173314	0.640078779	NA	0.610536681	2.629246677	NA	NA	NA	NA	NA	0.728705071	1.890694239	0.630231413	0.580994584	NA	2.954209749	NA	NA	NA	NA	1.1816839	0.955194485	1.122599705	NA	0.728705071	1.742983752	0.521910389	NA	NA	NA	2.235352043	1.073362875	NA	1.418020679	NA	NA	NA	NA	NA	1.033973412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.737567701	NA	1.595273264	NA	NA	NA	NA
20.193.7	107	46.55	26.14	1.241328952	3.870025557	5.84154801	2.555677254	3.504928806	3.358890106	4.673238408	NA	1.168309602	1.861993428	NA	2.73822563	12.1577218	6.206644761	2.95728368	2.847754655	0.620664476	0.693683826	NA	1.168309602	NA	0.803212851	NA	NA	3.066812705	3.687477181	NA	0.730193501	NA	NA	NA	NA	1.606425703	NA	0.620664476	0.693683826	NA	NA	NA	0.693683826	0.803212851	NA	0.511135451	2.628696605	NA	3.906535232	0.657174151	NA	NA	NA	NA	0.839722526	NA	NA	NA	NA	NA	NA	NA	0.584154801	1.095290252	NA	NA	NA	NA	NA	NA	NA	0.547645126	NA	NA	NA	NA	NA
27.192.7	176	86.93	53.92	1.781903542	2.283397354	0.640204866	1.099018353	0.736235595	NA	NA	NA	1.099018353	0.938967136	2.04865557	0.565514298	3.361075544	0.960307298	1.419120785	0.87494665	NA	NA	4.257362356	0.87494665	2.667520273	0.704225352	0.650874947	1.109688434	1.685872813	0.864276569	1.995305164	0.544174136	0.640204866	NA	2.528809219	NA	3.61715749	NA	0.544174136	NA	NA	3.894579599	NA	NA	5.014938114	NA	0.789586001	NA	1.781903542	NA	NA	NA	NA	1.099018353	0.576184379	0.672215109	0.68288519	NA	NA	1.621852326	NA	1.504481434	NA	NA	NA	NA	1.387110542	NA	NA	0.800256082	2.73154076	3.489116517	NA	3.361075544	0.501493811	NA	NA	1.205719163
60.218.12	164	65.56	30.92	9.367271228	4.668178071	4.286892003	4.060181369	0.855317395	1.803380049	0.917147568	2.24649629	2.648392415	1.453009068	2.019785655	NA	9.326051113	NA	1.030502885	1.391178895	0.659521847	NA	0.587386645	NA	0.762572135	0.845012366	NA	1.422093982	1.020197857	0.649216818	NA	0.783182193	NA	1.164468261	NA	NA	0.741962077	0.690436933	0.680131904	NA	1.34995878	1.638499588	NA	NA	0.968672712	NA	NA	NA	NA	NA	NA	0.999587799	NA	0.865622424	5.997526793	0.824402308	NA	NA	NA	NA	NA	NA	0.504946414	NA	NA	NA	NA	NA	0.834707337	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
