	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_126	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_56	OTU_49	OTU_7	OTU_42	OTU_55	OTU_92	OTU_8	OTU_66	OTU_65	OTU_195	OTU_180	OTU_32	OTU_28	OTU_68	OTU_48	OTU_86	OTU_75	OTU_397	OTU_74	OTU_93	OTU_77	OTU_88	OTU_37	OTU_127	OTU_38	OTU_94	OTU_51	OTU_36	OTU_34	OTU_3	OTU_53	OTU_22	OTU_281	OTU_27	OTU_58	OTU_44
3.189.5	137	58.86	34.95	6.129700918	6.114894877	1.895173231	5.152502221	1.228901392	6.529464021	4.056855197	0.85875037	1.154871187	1.243707433	NA	1.3769618	2.146875925	1.806336985	1.02161682	2.472608824	1.02161682	NA	1.821143026	1.317737637	NA	0.740302043	0.873556411	1.080840983	1.332543678	2.679893397	3.509031685	1.066034942	NA	1.140065147	1.36215576	NA	1.495410127	0.562629553	NA	NA	NA	2.191294048	NA	NA	NA	NA	NA	NA	0.888362452	NA	2.087651762	NA	NA	NA	6.144506959	NA	NA	NA	NA	0.962392656	1.169677228	NA	NA	NA	2.39857862	NA	NA	NA	NA	NA	NA	NA	0.888362452	NA	NA	0.533017471	NA	NA
7.213.5	111	37.79	18.72	3.544127867	8.102849201	17.13690063	4.266851981	2.001389854	3.488533704	5.503822099	0.63933287	3.558026407	1.765114663	2.070882557	1.904100069	1.389854065	2.029186935	NA	3.863794302	0.958999305	NA	3.280055594	0.722724114	NA	1.959694232	0.528144545	0.667129951	1.084086171	3.446838082	NA	1.598332175	NA	NA	2.279360667	NA	1.640027797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.500347464	NA	NA	1.876302988	NA	NA	NA	NA	NA	NA	NA	0.681028492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.186.5	162	73.02	40.41	7.49046353	2.820483181	2.034446885	2.91295804	0.647324009	NA	NA	NA	1.410241591	1.202173159	NA	NA	5.363541787	1.849497168	NA	1.398682233	NA	NA	NA	1.618310022	NA	0.85539244	3.213501329	2.381227604	2.519939891	2.878279968	0.658883366	0.913189227	NA	NA	NA	NA	1.109698301	NA	1.45647902	NA	NA	3.097907756	NA	0.520171078	NA	NA	0.577967865	NA	NA	NA	NA	NA	NA	NA	NA	0.820714368	NA	NA	0.936307941	NA	2.600855392	0.566408508	NA	NA	NA	NA	NA	NA	NA	NA	3.514044619	2.334990175	0.612645937	0.635764651	1.965090741	6.415443301	NA	1.051901514
47.189.10	150	65.15	32.84	9.400705053	0.928319624	5.934195065	7.097532315	0.869565217	5.005875441	2.961222092	0.587544066	1.210340776	NA	0.810810811	1.33960047	4.571092832	NA	0.822561692	2.032902468	1.151586369	NA	NA	0.904817861	1.198589894	0.564042303	NA	0.834312573	NA	0.975323149	NA	NA	1.903642773	NA	NA	2.068155112	0.857814336	NA	NA	0.834312573	0.517038778	0.834312573	NA	NA	NA	0.552291422	NA	NA	1.16333725	NA	NA	NA	4.594594595	2.079905993	1.774383079	NA	NA	0.599294947	NA	NA	0.634547591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.397179788	NA
51.213.10	118	34.83	14.58	3.736680777	5.984527806	19.90950226	2.933878266	1.153116333	10.78674646	7.414975916	NA	1.080134287	0.759013283	0.656838418	0.788206101	4.262151511	1.02174865	0.554663553	2.160268574	0.861188148	0.744416873	0.788206101	0.948766603	NA	0.729820464	NA	0.540067143	1.22609838	1.912129616	NA	1.547219384	NA	NA	NA	NA	1.036345059	NA	NA	1.532622975	NA	NA	NA	NA	1.941322435	NA	NA	0.554663553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82455116	NA	NA	NA	NA	NA	NA	NA	0.729820464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23.218.7	138	50.41	20.27	1.844646203	1.49877504	0.547629341	5.548349906	0.504395446	NA	NA	NA	2.911082289	NA	0.56204064	0.590863237	2.608445021	1.700533218	NA	0.907911803	NA	NA	NA	0.706153624	1.066436086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.224960369	2.983138781	NA	NA	2.449920738	NA	2.824614498	17.88442139	NA	NA	NA	NA	2.651678916	NA	NA	NA	NA	NA	0.720564923	5.173656146	1.671710621	NA	1.844646203	NA	NA	0.965556997	0.634097132	NA	NA	4.640438103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55.195.10	182	86.81	46.03	4.257720324	1.518415923	NA	2.698266133	0.533497486	NA	NA	NA	0.636093157	1.128552375	0.820765364	NA	2.380219555	NA	0.564276188	0.759207961	NA	0.574535755	2.32892172	NA	0.502718785	NA	NA	1.569713758	1.066994973	NA	NA	0.646352724	1.754385965	NA	1.446598954	NA	1.446598954	NA	NA	NA	0.677131425	3.006053145	NA	NA	2.226326049	NA	NA	NA	0.933620601	NA	NA	NA	NA	0.707910126	5.057966554	1.087514107	NA	NA	NA	1.333743716	NA	0.80024623	1.190109777	NA	NA	NA	0.656612291	NA	NA	7.407407407	1.63127116	6.063404124	NA	NA	NA	NA	NA	0.882322766
34.193.9	138	59.25	33	5.194654271	1.568855317	5.066821615	9.599070308	2.173155142	2.11504939	2.138291691	1.196978501	4.729808251	0.674026729	NA	NA	2.614758861	4.055781522	1.940732132	1.65020337	NA	NA	NA	0.94131319	2.510168507	NA	NA	NA	0.999418942	2.440441604	NA	NA	NA	NA	NA	NA	NA	NA	5.752469494	NA	1.266705404	2.975014526	NA	1.278326554	NA	NA	0.511330622	1.022661243	NA	NA	NA	NA	NA	0.69726903	NA	0.674026729	NA	2.022080186	NA	NA	0.825101685	NA	NA	1.824520628	1.963974433	NA	NA	NA	0.732132481	NA	NA	NA	2.138291691	NA	NA	NA	NA	NA
15.196.5	151	63.11	31.55	10.38138034	2.189192303	3.583362138	6.406268003	0.852632792	NA	NA	0.72589008	2.972692707	2.143104044	NA	NA	7.777393709	1.520912548	0.576103238	2.776817606	NA	1.013941698	2.073971656	1.106118216	NA	1.62461113	NA	0.541537043	2.638552829	0.94480931	2.10853785	1.4056919	NA	0.864154857	1.290471252	NA	0.645235626	NA	NA	0.668279756	NA	NA	NA	NA	0.691323885	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67980182	NA	NA	NA	2.511810116	NA	NA	1.290471252	NA	NA	NA	NA	NA	1.440258094	NA	0.910243116	3.341398779	1.060029957	0.864154857	NA	1.590044936	NA	NA	NA
22.213.7	149	70.15	38.5	5.084125823	2.706656913	4.194099	8.839307486	0.536454523	0.548646672	NA	1.694708608	1.901975128	NA	2.645696172	NA	4.718361375	NA	NA	2.499390393	NA	NA	NA	0.829066081	3.560107291	0.646183858	NA	NA	0.963179712	0.816873933	NA	1.341136308	0.914411119	NA	NA	NA	1.450865643	1.04852475	1.950743721	NA	0.865642526	0.975371861	NA	2.060473055	4.767129968	NA	NA	NA	NA	NA	NA	NA	1.060716898	NA	NA	NA	0.536454523	0.780297488	NA	0.621799561	NA	NA	0.780297488	NA	NA	NA	1.04852475	NA	1.32894416	NA	NA	0.731528895	NA	NA	NA	NA	NA	NA
