	Richness	Shannon.effective	Simpson.effective	k__Bacteria	p__Bacteroidetes	p__Deferribacteres	p__Firmicutes	p__Proteobacteria	p__Tenericutes	p__unknown_ Bacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Deferribacteres	c__Deltaproteobacteria	c__Erysipelotrichia	c__Mollicutes	c__unknown_ Bacteria	c__unknown_ Bacteroidetes	c__unknown_ Firmicutes	o__Anaeroplasmatales	o__Bacteroidales	o__Burkholderiales	o__Clostridiales	o__Deferribacterales	o__Desulfovibrionales	o__Erysipelotrichales	o__Lactobacillales	o__unknown_ Alphaproteobacteria	o__unknown_ Bacteria	o__unknown_ Bacteroidetes	o__unknown_ Deltaproteobacteria	o__unknown_ Firmicutes	f__Anaeroplasmataceae	f__Bacteroidaceae	f__Deferribacteraceae	f__Desulfovibrionaceae	f__Erysipelotrichaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Porphyromonadaceae	f__Prevotellaceae	f__Rikenellaceae	f__Ruminococcaceae	f__Sutterellaceae	f__unknown_ Alphaproteobacteria	f__unknown_ Bacteria	f__unknown_ Bacteroidales	f__unknown_ Bacteroidetes	f__unknown_ Clostridiales	f__unknown_ Deltaproteobacteria	f__unknown_ Firmicutes	g__Alistipes	g__Alloprevotella	g__Anaeroplasma	g__Anaerotruncus	g__Bacteroides	g__Barnesiella	g__Butyricicoccus	g__Clostridium IV	g__Clostridium XlVa	g__Clostridium XlVb	g__Flavonifractor	g__Lachnospiracea_incertae_sedis	g__Lactobacillus	g__Mucispirillum	g__Odoribacter	g__Oscillibacter	g__Parabacteroides	g__Parasutterella	g__Prevotella	g__Roseburia	g__Ruminococcus	g__Turicibacter	g__unknown_ Alphaproteobacteria	g__unknown_ Bacteria	g__unknown_ Bacteroidales	g__unknown_ Bacteroidetes	g__unknown_ Clostridiales	g__unknown_ Deltaproteobacteria	g__unknown_ Desulfovibrionaceae	g__unknown_ Firmicutes	g__unknown_ Lachnospiraceae	g__unknown_ Porphyromonadaceae	g__unknown_ Ruminococcaceae
3.189.5	137	58.86	34.95	100	44.86230382	0.399763103	51.83594907	1.747112822	0.266508736	0.740302043	NA	13.60675155	44.13680782	1.332543678	37.32602902	0.399763103	0.251702695	NA	0.266508736	0.740302043	0.725496002	0.903168493	0.266508736	44.13680782	1.332543678	37.32602902	0.399763103	NA	NA	13.60675155	NA	0.740302043	0.725496002	NA	0.903168493	0.266508736	4.367782055	0.399763103	NA	NA	25.15546343	13.60675155	25.42197216	0.592241635	12.99970388	7.758365413	1.332543678	NA	0.740302043	0.755108084	0.725496002	4.11607936	NA	0.903168493	12.99970388	NA	0.266508736	NA	4.367782055	2.531832988	NA	0.34053894	1.006810779	0.281314776	NA	NA	13.60675155	0.399763103	2.383772579	NA	0.488599349	1.332543678	0.429375185	NA	3.509031685	NA	NA	0.740302043	0.755108084	0.725496002	4.11607936	NA	NA	0.903168493	23.67485934	20.01776725	3.375777317
7.213.5	111	37.79	18.72	100	55.92772759	NA	40.94510076	2.571230021	NA	NA	NA	27.1438499	55.06601807	2.12647672	13.14801946	NA	0.319666435	NA	NA	NA	0.861709521	0.653231411	NA	55.06601807	2.12647672	13.14801946	NA	NA	NA	27.1438499	NA	NA	0.861709521	NA	0.653231411	NA	4.419735928	NA	NA	NA	7.157748436	27.1438499	37.34537874	0.778318277	10.59068798	2.237665045	2.12647672	NA	NA	1.931897151	0.861709521	3.460736623	NA	0.653231411	10.59068798	0.555941626	NA	NA	4.419735928	1.737317582	NA	0.333564976	NA	0.458651842	NA	NA	27.1438499	NA	4.767199444	NA	0.500347464	2.12647672	NA	NA	0.333564976	NA	NA	NA	1.931897151	0.861709521	3.460736623	NA	NA	0.653231411	6.435024322	30.34051425	1.250868659
1.186.5	162	73.02	40.41	100	48.22563865	0.416136863	50.04045775	1.075020229	NA	NA	NA	2.103803029	47.3471275	0.774476939	44.33013524	0.416136863	NA	NA	NA	NA	0.878511155	3.606519478	NA	47.3471275	0.774476939	44.33013524	0.416136863	NA	NA	2.103803029	NA	NA	0.878511155	NA	3.606519478	NA	2.647092822	0.416136863	NA	NA	32.00786036	2.103803029	29.31453011	0.751358224	14.06773783	7.871922321	0.774476939	NA	NA	0.566408508	0.878511155	4.103571841	NA	3.606519478	14.06773783	0.393018148	NA	NA	2.647092822	5.502254075	0.393018148	NA	1.629869379	NA	0.531730436	1.202173159	2.103803029	0.416136863	1.999768813	0.693561438	NA	0.774476939	0.358340076	NA	0.658883366	NA	NA	NA	0.566408508	0.878511155	4.103571841	NA	NA	3.606519478	29.01398682	21.65067622	5.409779216
47.189.10	150	65.15	32.84	100	43.45475911	NA	52.43243243	2.596944771	0.352526439	0.693301998	0.552291422	15.22914219	43.24324324	0.998824912	34.98237368	NA	1.045828437	2.091656874	0.352526439	0.693301998	NA	NA	0.352526439	43.24324324	0.998824912	34.98237368	NA	0.434782609	2.091656874	15.22914219	0.552291422	0.693301998	NA	0.611045828	NA	0.352526439	2.714453584	NA	0.434782609	2.091656874	24.31257344	15.22914219	17.5440658	0.458284371	17.46180964	7.59106933	0.998824912	0.552291422	0.693301998	5.064629847	NA	2.843713278	0.611045828	NA	17.46180964	0.27027027	0.352526439	0.258519389	2.714453584	4.64159812	0.27027027	0.62279671	0.951821387	1.410105758	0.646298472	NA	15.22914219	NA	2.209165687	1.057579318	0.505287897	0.998824912	NA	NA	NA	2.068155112	0.552291422	0.693301998	5.064629847	NA	2.843713278	0.611045828	0.411280846	NA	21.92714454	10.1880141	4.712103408
51.213.10	118	34.83	14.58	100	44.98613341	0.364910232	52.78061597	1.722376295	NA	NA	0.262735367	39.13297329	43.13238943	1.167712743	13.57466063	0.364910232	0.291928186	NA	NA	NA	1.853743979	NA	NA	43.13238943	1.167712743	13.57466063	0.364910232	NA	NA	39.13297329	0.262735367	NA	1.853743979	NA	NA	NA	2.933878266	0.364910232	NA	NA	9.619033718	39.13297329	28.81331193	1.080134287	9.181141439	2.510582397	1.167712743	0.262735367	NA	1.123923515	1.853743979	1.328273245	NA	NA	9.181141439	0.788206101	NA	NA	2.933878266	4.335133557	NA	NA	0.262735367	0.423295869	NA	NA	39.13297329	0.364910232	1.386658882	NA	0.583856371	1.167712743	0.291928186	NA	NA	NA	0.262735367	NA	1.123923515	1.853743979	1.328273245	NA	NA	NA	8.830827616	22.50766311	1.561815793
23.218.7	138	50.41	20.27	100	26.40149878	2.651678916	69.05894221	1.801412307	NA	NA	NA	1.066436086	25.75299034	0.518806744	67.97809483	2.651678916	1.138492578	NA	NA	NA	0.648508431	NA	NA	25.75299034	0.518806744	67.97809483	2.651678916	0.821444012	NA	1.066436086	NA	NA	0.648508431	0.317048566	NA	NA	2.70932411	2.651678916	0.821444012	NA	52.99034443	1.066436086	13.01340251	0.951145698	7.955036749	13.57544315	0.518806744	NA	NA	1.12408128	0.648508431	1.282605563	0.317048566	NA	7.955036749	0.907911803	NA	NA	2.70932411	2.622856319	1.412307249	0.345871163	1.383484652	1.383484652	0.648508431	0.662919729	1.066436086	2.651678916	3.011961378	0.662919729	0.576451938	0.518806744	NA	NA	NA	NA	NA	NA	1.12408128	0.648508431	1.282605563	0.317048566	0.475572849	NA	49.09929385	6.802132872	10.3040784
55.195.10	182	86.81	46.03	100	33.14866113	NA	63.92736227	2.010875141	NA	0.482199651	NA	0.615574023	32.440751	0.636093157	62.85010773	NA	1.231148046	NA	NA	0.482199651	0.707910126	0.461680517	NA	32.440751	0.636093157	62.85010773	NA	1.159331076	NA	0.615574023	NA	0.482199651	0.707910126	NA	0.461680517	NA	1.036216272	NA	1.159331076	NA	44.69067405	0.615574023	22.24274136	NA	8.628295886	15.33805273	0.636093157	NA	0.482199651	0.461680517	0.707910126	2.667487432	NA	0.461680517	8.628295886	NA	NA	0.27700831	1.036216272	2.400738689	1.190109777	0.80024623	1.108033241	0.523237919	2.103211244	0.605314456	0.615574023	NA	0.943880168	1.241407613	0.328306145	0.636093157	NA	NA	0.318046578	NA	NA	0.482199651	0.461680517	0.707910126	2.667487432	NA	0.913101467	0.461680517	42.3720119	18.56981635	9.408022981
34.193.9	138	59.25	33	100	42.20801859	NA	54.44509006	2.754212667	NA	NA	NA	9.529343405	41.59209762	2.208018594	44.68332365	NA	0.534572923	NA	NA	NA	0.615920976	NA	NA	41.59209762	2.208018594	44.68332365	NA	0.383497966	NA	9.529343405	NA	NA	0.615920976	NA	NA	NA	6.58919233	NA	0.383497966	NA	28.59965137	9.529343405	17.59442185	NA	16.51365485	13.87565369	2.208018594	NA	NA	0.894828588	0.615920976	1.87100523	NA	NA	16.51365485	NA	NA	0.255665311	6.58919233	2.719349216	NA	1.766414875	1.394538059	1.847762929	0.848343986	0.278907612	9.529343405	NA	6.414875073	0.883207438	1.220220802	2.208018594	NA	NA	NA	NA	NA	NA	0.894828588	0.615920976	1.87100523	NA	NA	NA	24.96223126	7.239976758	9.88959907
15.196.5	151	63.11	31.55	100	67.74974075	NA	29.11625763	1.440258094	NA	1.152206475	NA	4.43599493	66.59753428	0.898721051	24.06959327	NA	0.530014979	NA	NA	1.152206475	1.152206475	0.610669432	NA	66.59753428	0.898721051	24.06959327	NA	NA	NA	4.43599493	NA	1.152206475	1.152206475	0.380228137	0.610669432	NA	2.59246457	NA	NA	NA	14.43714714	4.43599493	41.31812421	0.472404655	20.77428275	6.486922457	0.898721051	NA	1.152206475	1.440258094	1.152206475	2.78833967	0.380228137	0.610669432	20.77428275	0.299573684	NA	NA	2.59246457	7.97326881	NA	NA	0.714368015	0.334139878	0.472404655	NA	4.43599493	NA	4.136421247	0.645235626	NA	0.898721051	NA	NA	2.10853785	NA	NA	1.152206475	1.440258094	1.152206475	2.78833967	0.380228137	NA	0.610669432	13.18124208	29.00103699	2.78833967
22.213.7	149	70.15	38.5	100	42.6725189	NA	55.51085101	1.487442087	NA	NA	NA	5.023165082	42.11168008	0.633991709	49.78054133	NA	0.621799561	NA	NA	NA	0.56083882	0.707144599	NA	42.11168008	0.633991709	49.78054133	NA	NA	NA	5.010972933	NA	NA	0.56083882	0.463301634	0.707144599	NA	1.109485491	NA	NA	NA	36.17410388	5.010972933	22.75054865	0.499878079	16.15459644	10.89978054	0.633991709	NA	NA	1.597171422	0.56083882	2.535966837	0.463301634	0.707144599	16.15459644	NA	NA	0.292611558	1.109485491	4.925627896	0.780297488	1.194830529	2.523774689	0.292611558	2.194586686	1.085101195	5.010972933	NA	3.828334553	0.853450378	0.304803706	0.633991709	0.390148744	NA	NA	NA	NA	NA	1.597171422	0.56083882	2.535966837	0.463301634	NA	0.707144599	32.06534991	13.69178249	5.449890271
