	Richness	Shannon.effective	Simpson.effective	k__Bacteria	p__Bacteroidetes	p__Deferribacteres	p__Firmicutes	p__Proteobacteria	p__Tenericutes	p__unknown_ Bacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Deferribacteres	c__Deltaproteobacteria	c__Erysipelotrichia	c__Mollicutes	c__unknown_ Bacteria	c__unknown_ Bacteroidetes	c__unknown_ Firmicutes	o__Anaeroplasmatales	o__Bacteroidales	o__Burkholderiales	o__Clostridiales	o__Deferribacterales	o__Desulfovibrionales	o__Erysipelotrichales	o__Lactobacillales	o__unknown_ Alphaproteobacteria	o__unknown_ Bacteria	o__unknown_ Bacteroidetes	o__unknown_ Deltaproteobacteria	o__unknown_ Firmicutes	f__Anaeroplasmataceae	f__Bacteroidaceae	f__Deferribacteraceae	f__Desulfovibrionaceae	f__Erysipelotrichaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Porphyromonadaceae	f__Prevotellaceae	f__Rikenellaceae	f__Ruminococcaceae	f__Sutterellaceae	f__unknown_ Alphaproteobacteria	f__unknown_ Bacteria	f__unknown_ Bacteroidales	f__unknown_ Bacteroidetes	f__unknown_ Clostridiales	f__unknown_ Deltaproteobacteria	f__unknown_ Firmicutes	g__Alistipes	g__Alloprevotella	g__Anaeroplasma	g__Anaerotruncus	g__Bacteroides	g__Barnesiella	g__Butyricicoccus	g__Clostridium IV	g__Clostridium XlVa	g__Clostridium XlVb	g__Flavonifractor	g__Lachnospiracea_incertae_sedis	g__Lactobacillus	g__Mucispirillum	g__Odoribacter	g__Oscillibacter	g__Parabacteroides	g__Parasutterella	g__Prevotella	g__Roseburia	g__Ruminococcus	g__Turicibacter	g__unknown_ Alphaproteobacteria	g__unknown_ Bacteria	g__unknown_ Bacteroidales	g__unknown_ Bacteroidetes	g__unknown_ Clostridiales	g__unknown_ Deltaproteobacteria	g__unknown_ Desulfovibrionaceae	g__unknown_ Firmicutes	g__unknown_ Lachnospiraceae	g__unknown_ Porphyromonadaceae	g__unknown_ Ruminococcaceae
63.192.12	172	78.77	45.07	100	20.79501632	0.533966182	76.14951053	1.601898546	0.489469	NA	NA	NA	20.36487689	0.548798576	74.9925838	0.533966182	0.889943637	NA	0.489469	NA	0.430139425	0.934440819	0.489469	20.36487689	0.548798576	74.9925838	0.533966182	0.548798576	NA	NA	NA	NA	0.430139425	0.341145061	0.934440819	0.489469	1.928211213	0.533966182	0.548798576	NA	47.46366063	NA	9.107089884	0.548798576	8.291308217	24.79976268	0.548798576	NA	NA	0.489469	0.430139425	2.640166123	0.341145061	0.934440819	8.291308217	NA	0.489469	2.017205577	1.928211213	NA	0.652625334	1.854049244	1.142094334	1.512904183	1.290418274	NA	NA	0.533966182	1.557401365	3.960249184	NA	0.548798576	0.519133788	0.741619697	0.726787303	NA	NA	NA	0.489469	0.430139425	2.640166123	0.341145061	0.504301394	0.934440819	43.72589736	7.178878671	14.28359537
14.195.5	159	76.66	43.6	100	54.55696203	NA	44	0.886075949	NA	NA	NA	3.291139241	54.01265823	0.544303797	40.4556962	NA	0.341772152	NA	NA	NA	0.544303797	0.253164557	NA	54.01265823	0.544303797	40.4556962	NA	NA	NA	3.291139241	NA	NA	0.544303797	NA	0.253164557	NA	3.721518987	NA	NA	NA	28.5443038	3.291139241	31.84810127	0.835443038	17.05063291	9.012658228	0.544303797	NA	NA	0.556962025	0.544303797	2.810126582	NA	0.253164557	17.05063291	0.417721519	NA	NA	3.721518987	4.265822785	0.46835443	NA	0.784810127	0.405063291	1.012658228	0.594936709	3.291139241	NA	2.303797468	1.164556962	0.265822785	0.544303797	0.417721519	NA	0.708860759	NA	NA	NA	0.556962025	0.544303797	2.810126582	NA	NA	0.253164557	26.74683544	25.01265823	5.316455696
30.186.9	152	61.03	30.02	100	49.61200207	0.29746508	44.5938955	4.578375582	NA	NA	0.258665287	9.001551992	49.35333678	1.319192964	32.35902742	0.29746508	3.000517331	0.982928091	NA	NA	0.258665287	2.250387998	NA	49.35333678	1.319192964	32.35902742	0.29746508	NA	0.982928091	9.001551992	0.258665287	NA	0.258665287	2.922917744	2.250387998	NA	3.41438179	0.29746508	NA	0.982928091	16.37351267	9.001551992	21.33988619	0.931195034	21.67615106	12.77806518	1.319192964	0.258665287	NA	1.991722711	0.258665287	2.366787377	2.922917744	2.250387998	21.67615106	NA	NA	0.336264873	3.41438179	4.151577858	NA	1.383859286	0.478530781	1.176927056	0.543197103	0.517330574	9.001551992	0.29746508	4.048111743	1.39679255	0.918261769	1.319192964	0.918261769	NA	5.2250388	0.918261769	0.258665287	NA	1.991722711	0.258665287	2.366787377	2.922917744	NA	2.250387998	14.187791	12.22193482	3.763579928
35.203.9	159	71.91	35.02	100	50.53890925	NA	45.5593878	1.983186031	NA	1.2179349	NA	4.020262988	49.87066178	0.808363872	40.4720845	NA	1.023927571	NA	NA	1.2179349	0.668247467	1.06704031	NA	49.87066178	0.808363872	40.4720845	NA	NA	NA	4.020262988	NA	1.2179349	0.668247467	0.937702091	1.06704031	NA	2.4358698	NA	NA	NA	30.67471438	4.020262988	25.8568657	0.754472947	20.13364949	8.730329812	0.808363872	NA	1.2179349	0.689803837	0.668247467	1.06704031	0.937702091	1.06704031	20.13364949	NA	NA	NA	2.4358698	5.065746928	0.528131063	0.452683768	1.304160379	NA	1.336494934	NA	4.020262988	NA	2.37120069	0.625134727	0.269454624	0.808363872	0.571243803	NA	0.819142056	NA	NA	1.2179349	0.689803837	0.668247467	1.06704031	0.937702091	NA	1.06704031	29.12265574	18.15046346	4.828626859
6.203.5	160	67.45	36.13	100	41.34520277	NA	56.20672601	1.607319486	NA	0.544015826	0.383283877	4.03066271	40.05934718	NA	49.01088032	NA	1.038575668	NA	NA	0.544015826	1.285855589	3.165182987	NA	40.05934718	NA	49.01088032	NA	NA	NA	4.03066271	0.383283877	0.544015826	1.285855589	0.976755687	3.165182987	NA	2.460435213	NA	NA	NA	28.26409496	4.03066271	16.36993076	0.803659743	19.41147379	18.17507418	NA	0.383283877	0.544015826	1.013847676	1.285855589	2.324431256	0.976755687	3.165182987	19.41147379	NA	NA	0.259643917	2.460435213	1.84223541	NA	2.200791296	1.768051434	NA	1.520771513	1.038575668	4.03066271	NA	3.659742829	1.335311573	0.296735905	NA	0.803659743	NA	2.114243323	NA	0.383283877	0.544015826	1.013847676	1.285855589	2.324431256	0.976755687	NA	3.165182987	25.14836795	10.57121662	10.53412463
36.213.9	144	49.45	21.52	100	38.37258646	0.625928283	59.22978994	1.156375981	NA	0.360704435	NA	11.64863144	37.54508805	0.604710376	46.92340335	0.625928283	0.466793974	NA	NA	0.360704435	0.827498409	0.657755145	NA	37.54508805	0.604710376	46.92340335	0.625928283	NA	NA	11.64863144	NA	0.360704435	0.827498409	0.350095481	0.657755145	NA	2.164226607	0.625928283	NA	NA	35.55060471	11.64863144	21.9817526	0.254614895	12.14725228	9.622321239	0.604710376	NA	0.360704435	0.997241672	0.827498409	1.644387863	0.350095481	0.657755145	12.14725228	NA	NA	NA	2.164226607	7.93549756	NA	0.816889455	1.410990876	1.145767027	1.729259495	NA	11.64863144	0.625928283	2.461277318	0.657755145	0.254614895	0.604710376	NA	NA	0.318268619	NA	NA	0.360704435	0.997241672	0.827498409	1.644387863	0.350095481	NA	0.657755145	32.77105877	11.33036283	5.866751538
8.218.5	150	68.32	36.92	100	45.9089462	NA	51.91021968	1.655523719	NA	NA	NA	10.76090417	45.38363578	1.225724292	40.28971665	NA	0.397962432	NA	NA	NA	0.525310411	0.859598854	NA	45.38363578	1.225724292	40.28971665	NA	NA	NA	10.76090417	NA	NA	0.525310411	NA	0.859598854	NA	2.387774594	NA	NA	NA	25.69245463	10.76090417	25.00795925	0.429799427	16.58707418	9.582935371	1.225724292	NA	NA	0.971028335	0.525310411	4.632282713	NA	0.859598854	16.58707418	NA	NA	NA	2.387774594	3.772683859	NA	1.241642789	1.034702324	0.334288443	0.907354346	0.684495384	10.76090417	NA	3.788602356	0.891435848	NA	1.225724292	NA	1.416746259	0.700413881	NA	NA	NA	0.971028335	0.525310411	4.632282713	NA	NA	0.859598854	22.22222222	17.27156956	5.635148042
57.193.12	152	67.73	37.31	100	35.87156958	0.466428029	61.98069205	1.214882308	NA	0.28202625	NA	13.83013342	35.07972665	0.78099577	47.65158911	0.466428029	0.423039375	NA	NA	0.28202625	0.791842933	0.466428029	NA	35.07972665	0.78099577	47.65158911	0.466428029	0.28202625	NA	13.83013342	NA	0.28202625	0.791842933	NA	0.466428029	NA	5.217485628	0.466428029	0.28202625	NA	33.91908016	13.83013342	18.7655928	NA	9.979390389	11.79086669	0.78099577	NA	0.28202625	0.867773077	0.791842933	1.822323462	NA	0.466428029	9.979390389	NA	NA	NA	5.217485628	5.358498753	0.672524135	1.475214231	1.182340818	1.312506779	0.455580866	NA	13.83013342	0.466428029	2.310445818	1.312506779	0.618288318	0.78099577	NA	NA	0.260331923	NA	NA	0.28202625	0.867773077	0.791842933	1.822323462	NA	NA	0.466428029	31.10966482	10.47835991	7.582167263
46.188.10	150	50.15	18.93	100	55.85651537	0.878477306	39.82430454	1.903367496	0.292825769	0.439238653	NA	9.956076135	55.27086384	1.244509517	26.50073206	0.878477306	0.585651537	0.732064422	0.292825769	0.439238653	0.585651537	2.635431918	0.292825769	55.27086384	1.244509517	26.50073206	0.878477306	0.366032211	0.732064422	9.956076135	NA	0.439238653	0.585651537	NA	2.635431918	0.292825769	2.049780381	0.878477306	0.366032211	0.732064422	16.69106881	9.956076135	37.92093704	NA	13.32357247	6.442166911	1.244509517	NA	0.439238653	1.903367496	0.585651537	2.70863836	NA	2.635431918	13.32357247	NA	0.292825769	0.439238653	2.049780381	18.74084919	0.439238653	0.65885798	0.65885798	0.65885798	0.292825769	0.366032211	9.956076135	0.878477306	3.806734993	NA	0.366032211	1.244509517	NA	NA	0.512445095	0.732064422	NA	0.439238653	1.903367496	0.585651537	2.70863836	NA	0.292825769	2.635431918	14.9341142	15.00732064	3.587115666
16.186.7	131	48.23	20.94	100	56.60452202	NA	40.79069152	2.353563401	NA	NA	0.581779717	3.239455243	55.95663097	0.687557847	37.36612455	NA	1.084225836	NA	NA	NA	0.647891049	NA	NA	55.95663097	0.687557847	37.36612455	NA	NA	NA	3.239455243	0.581779717	NA	0.647891049	0.991669972	NA	NA	2.908898585	NA	NA	NA	24.26285865	3.239455243	19.37062012	1.388337961	28.82454053	9.096919212	0.687557847	0.581779717	NA	3.46423377	0.647891049	3.226232976	0.991669972	NA	28.82454053	0.528890652	NA	0.330556657	2.908898585	2.3932302	0.647891049	0.25122306	1.269337564	NA	1.53378289	0.687557847	3.239455243	NA	4.28401428	0.489223853	0.581779717	0.687557847	0.859447309	NA	NA	NA	0.581779717	NA	3.46423377	0.647891049	3.226232976	0.991669972	NA	NA	22.14729605	12.11159593	5.804574904
4.190.5	142	48.92	25.61	100	52.02007205	NA	46.61605764	1.119402985	NA	NA	NA	24.31806485	50.27020072	0.746268657	21.71899125	NA	NA	NA	NA	NA	1.749871333	0.579001544	NA	50.27020072	0.746268657	21.71899125	NA	NA	NA	24.31806485	NA	NA	1.749871333	NA	0.579001544	NA	6.832218219	NA	NA	NA	11.95316521	24.31806485	26.15800309	0.694801853	15.748842	6.085949563	0.746268657	NA	NA	0.836335564	1.749871333	3.42254246	NA	0.579001544	15.748842	NA	NA	NA	6.832218219	4.014410705	NA	0.759135358	0.450334534	0.25733402	NA	NA	24.31806485	NA	3.860010293	0.295934122	0.553268142	0.746268657	0.501801338	NA	1.106536284	NA	NA	NA	0.836335564	1.749871333	3.42254246	NA	NA	0.579001544	11.00102934	17.73031395	3.641276377
66.196.12	187	81.67	40.16	100	48.68882345	0.294488851	49.08147525	1.416351143	NA	NA	NA	6.072079652	48.07179919	0.953582948	42.47651101	0.294488851	0.448744917	NA	NA	NA	0.61702426	0.532884588	NA	48.07179919	0.953582948	42.47651101	0.294488851	0.280465573	NA	6.072079652	NA	NA	0.61702426	NA	0.532884588	NA	1.4443977	0.294488851	0.280465573	NA	29.9396999	6.072079652	26.96676483	0.350581966	18.55279764	9.381573412	0.953582948	NA	NA	0.757257047	0.61702426	3.029028187	NA	0.532884588	18.55279764	NA	NA	NA	1.4443977	3.632029168	0.350581966	0.631047539	1.430374422	0.448744917	0.981629505	0.336558687	6.072079652	0.294488851	4.459402608	0.532884588	0.350581966	0.953582948	0.252419016	0.294488851	1.03772262	NA	NA	NA	0.757257047	0.61702426	3.029028187	NA	0.280465573	0.532884588	27.38746319	18.52475109	5.721497686
50.203.10	167	81.08	40.27	100	20.73532319	0.998220992	75.83514529	1.215655268	0.336034789	0.523818937	NA	2.273176517	20.36963827	NA	72.97884958	0.998220992	0.958687488	NA	0.336034789	0.523818937	0.365684918	0.583119194	0.336034789	20.36963827	NA	72.97884958	0.998220992	0.415101799	NA	2.273176517	NA	0.523818937	0.365684918	0.543585689	0.583119194	0.336034789	0.869737102	0.998220992	0.415101799	NA	50.6226527	2.273176517	11.72168413	NA	7.323581736	20.56730579	NA	NA	0.523818937	0.444751927	0.365684918	1.680173947	0.543585689	0.583119194	7.323581736	NA	0.336034789	1.274955525	0.869737102	1.502273177	0.573235817	0.869737102	2.401660407	1.186005139	2.233643012	NA	2.273176517	0.998220992	2.372010279	1.482506424	NA	NA	NA	NA	1.10693813	NA	NA	0.523818937	0.444751927	0.365684918	1.680173947	0.543585689	0.306384661	0.583119194	46.77801937	7.817750544	12.99663965
44.196.9	163	76.11	47.59	100	63.49294215	NA	33.13036258	2.878494326	NA	NA	NA	3.238306117	61.59701079	2.61555494	29.0063659	NA	NA	NA	NA	NA	1.895931359	0.885690562	NA	61.59701079	2.61555494	29.0063659	NA	NA	NA	3.238306117	NA	NA	1.895931359	NA	0.885690562	NA	8.068087462	NA	NA	NA	19.30528647	3.238306117	46.06974813	0.401328536	6.448934404	4.511486299	2.61555494	NA	NA	0.608912261	1.895931359	4.802103515	NA	0.885690562	6.448934404	NA	NA	NA	8.068087462	6.269028508	NA	0.318295046	1.508441738	NA	0.262939386	0.429006366	3.238306117	NA	1.356213673	0.705784666	0.788818157	2.61555494	0.290617216	NA	0.678106836	NA	NA	NA	0.608912261	1.895931359	4.802103515	NA	NA	0.885690562	16.938832	37.65568779	2.324937725
10.187.5	172	76.17	38.4	100	32.19635628	NA	66.38663968	1.012145749	NA	NA	NA	0.981781377	31.75101215	0.36437247	64.32186235	NA	0.627530364	NA	NA	NA	0.44534413	1.082995951	NA	31.75101215	0.36437247	64.32186235	NA	0.414979757	NA	0.981781377	NA	NA	0.44534413	NA	1.082995951	NA	1.103238866	NA	0.414979757	NA	47.74291498	0.981781377	20.10121457	0.4048583	9.736842105	14.05870445	0.36437247	NA	NA	0.4048583	0.44534413	2.408906883	NA	1.082995951	9.736842105	NA	NA	NA	1.103238866	2.914979757	0.526315789	NA	1.629554656	NA	0.981781377	1.437246964	0.981781377	NA	2.074898785	1.670040486	NA	0.36437247	NA	NA	0.516194332	NA	NA	NA	0.4048583	0.44534413	2.408906883	NA	0.414979757	1.082995951	44.44331984	15.05060729	10.05060729
21.203.7	120	47.2	27.36	100	59.13956361	3.355290243	32.93536435	4.343351173	NA	NA	NA	13.23589955	58.48085632	3.952243722	19.02017291	3.355290243	NA	NA	NA	NA	0.658707287	0.658707287	NA	58.48085632	3.952243722	19.02017291	3.355290243	NA	NA	12.96829971	NA	NA	0.658707287	NA	0.658707287	NA	14.24454508	3.355290243	NA	NA	12.43310004	12.96829971	35.6113627	1.708522026	6.278303829	3.252367229	3.952243722	NA	NA	0.638122684	0.658707287	3.211198024	NA	0.658707287	6.278303829	1.543845204	NA	NA	14.24454508	10.95100865	NA	NA	0.45286126	0.514615068	NA	NA	12.96829971	3.355290243	1.090983944	NA	4.034582133	3.952243722	NA	NA	0.308769041	NA	NA	NA	0.638122684	0.658707287	3.211198024	NA	NA	0.658707287	11.3421161	19.53478798	2.264306299
38.185.9	167	81.86	48.87	100	48.51224105	NA	47.88449466	2.385436284	0.652856246	0.251098556	0.539861896	0.841180163	47.79661017	1.531701193	42.02134338	NA	0.313873195	NA	0.652856246	0.251098556	0.715630885	4.959196485	0.652856246	47.79661017	1.531701193	42.02134338	NA	NA	NA	0.841180163	0.539861896	0.251098556	0.715630885	NA	4.959196485	0.652856246	2.586315129	NA	NA	NA	22.09667294	0.841180163	33.52165725	1.067168864	8.261142498	13.55932203	1.531701193	0.539861896	0.251098556	2.360326428	0.715630885	6.126804771	NA	4.959196485	8.261142498	0.477087257	0.652856246	NA	2.586315129	0.841180163	NA	0.816070308	2.962962963	0.477087257	1.481481481	NA	0.841180163	NA	1.293157564	0.91650973	1.72002511	1.531701193	0.590081607	NA	2.397991212	NA	0.539861896	0.251098556	2.360326428	0.715630885	6.126804771	NA	NA	4.959196485	18.26741996	29.66729441	7.583176397
61.185.12	169	72.08	39.24	100	57.39518831	NA	40.10760329	1.989645721	NA	NA	NA	NA	56.50187798	1.319662978	38.80824282	NA	0.426352655	NA	NA	NA	0.893310324	1.055730383	NA	56.50187798	1.319662978	38.80824282	NA	0.30453761	NA	NA	NA	NA	0.893310324	NA	1.055730383	NA	2.64947721	NA	0.30453761	NA	25.60146178	NA	43.65039082	2.030250736	7.22769262	9.582783474	1.319662978	NA	NA	0.944066592	0.893310324	3.50218252	NA	1.055730383	7.22769262	0.974520353	NA	NA	2.64947721	2.700233479	0.38574764	0.375596386	3.552938788	NA	0.862856563	NA	NA	NA	0.842554055	0.751192772	1.126789158	1.319662978	1.055730383	NA	2.091158258	NA	NA	NA	0.944066592	0.893310324	3.50218252	NA	0.30453761	1.055730383	21.58156532	38.98081413	5.035021825
58.203.12	166	89.41	50.13	100	42.15322308	0.629992125	52.50309371	3.363707954	0.404994938	0.708741141	1.113736078	3.701203735	40.8482394	0.708741141	44.06569918	0.629992125	1.541230735	NA	0.404994938	0.708741141	1.304983688	4.657441782	0.404994938	40.8482394	0.708741141	44.06569918	0.629992125	0.438744516	NA	3.701203735	1.113736078	0.708741141	1.304983688	1.102486219	4.657441782	0.404994938	1.687478907	0.629992125	0.438744516	NA	25.17718529	3.701203735	24.38969513	0.663741703	13.26358421	16.07604905	0.708741141	1.113736078	0.708741141	0.843739453	1.304983688	2.452469344	1.102486219	4.657441782	13.26358421	NA	0.404994938	NA	1.687478907	1.529980875	NA	1.102486219	3.566205422	0.607492406	1.642479469	0.326245922	3.701203735	0.629992125	3.014962313	1.586230172	0.753740578	0.708741141	0.629992125	NA	2.024974688	NA	1.113736078	0.708741141	0.843739453	1.304983688	2.452469344	1.102486219	NA	4.657441782	20.49724378	19.09101136	9.337383283
29.196.7	166	75.35	43.61	100	67.89714868	NA	29.18788187	2.240325866	NA	NA	NA	0.636456212	66.08961303	1.425661914	27.02393075	NA	0.598268839	NA	NA	NA	1.807535642	1.451120163	NA	66.08961303	1.425661914	27.02393075	NA	0.318228106	NA	0.636456212	NA	NA	1.807535642	0.280040733	1.451120163	NA	0.99287169	NA	0.318228106	NA	14.10386965	0.636456212	56.37729124	1.552953157	6.071792261	6.631873727	1.425661914	NA	NA	1.094704684	1.807535642	6.173625255	0.280040733	1.451120163	6.071792261	0.598268839	NA	NA	0.99287169	6.899185336	NA	0.66191446	0.801934827	0.280040733	0.394602851	NA	0.636456212	NA	1.883910387	0.509164969	0.560081466	1.425661914	0.954684318	0.356415479	1.514765784	NA	NA	NA	1.094704684	1.807535642	6.173625255	0.280040733	NA	1.451120163	12.57637475	47.03411405	3.144093686
9.185.5	147	62.75	35.39	100	56.71928013	NA	39.37158873	2.197964302	0.280277327	0.368785957	0.575306092	4.76471456	56.01121109	1.268623691	32.52692137	NA	0.354034518	NA	0.280277327	0.368785957	0.708069037	1.902935536	0.280277327	56.01121109	1.268623691	32.52692137	NA	NA	NA	4.76471456	0.575306092	0.368785957	0.708069037	NA	1.902935536	0.280277327	1.298126567	NA	NA	NA	17.70172592	4.76471456	47.52913409	1.076854993	5.664552294	8.76235433	1.268623691	0.575306092	0.368785957	0.442543148	0.708069037	5.885823868	NA	1.902935536	5.664552294	0.663814722	0.280277327	NA	1.298126567	4.263165659	NA	0.324531642	1.44564095	NA	0.324531642	0.575306092	4.76471456	NA	1.312878006	NA	0.383537395	1.268623691	0.413040271	NA	4.67620593	NA	0.575306092	0.368785957	0.442543148	0.708069037	5.885823868	NA	NA	1.902935536	15.43000443	41.56955303	3.068299159
11.191.5	146	60.51	33.48	100	64.2238806	NA	33.08955224	1.71641791	NA	NA	NA	3.671641791	63.50746269	1.23880597	26.2238806	NA	0.373134328	NA	NA	NA	0.71641791	3.074626866	NA	63.50746269	1.23880597	26.2238806	NA	NA	NA	3.671641791	NA	NA	0.71641791	NA	3.074626866	NA	1.194029851	NA	NA	NA	12.26865672	3.671641791	53.10447761	1.28358209	7.059701493	8.044776119	1.23880597	NA	NA	0.865671642	0.71641791	5.791044776	NA	3.074626866	7.059701493	0.71641791	NA	NA	1.194029851	5.656716418	0.567164179	0.268656716	0.791044776	NA	0.268656716	0.253731343	3.671641791	NA	1.149253731	0.432835821	0.358208955	1.23880597	0.567164179	NA	3.701492537	NA	NA	NA	0.865671642	0.71641791	5.791044776	NA	NA	3.074626866	11.04477612	45.94029851	2.791044776
56.188.12	164	72.54	37.41	100	30.67840497	0.290005179	66.46297255	1.294665976	NA	0.84930088	NA	3.303987571	30.41947178	NA	61.43966857	0.290005179	1.046090109	NA	NA	0.84930088	0.258933195	1.708959089	NA	30.41947178	NA	61.43966857	0.290005179	0.735370274	NA	3.303987571	NA	0.84930088	0.258933195	0.310719834	1.708959089	NA	1.273951321	0.290005179	0.735370274	NA	43.86328327	3.303987571	15.08026929	NA	13.42309684	15.91921284	NA	NA	0.84930088	0.507509063	0.258933195	1.522527188	0.310719834	1.708959089	13.42309684	NA	NA	0.528223718	1.273951321	7.654065251	0.75608493	1.263593993	0.797514241	1.636457794	0.838943553	NA	3.303987571	0.290005179	2.402900052	0.880372864	NA	NA	NA	0.870015536	NA	NA	NA	0.84930088	0.507509063	0.258933195	1.522527188	0.310719834	0.538581046	1.708959089	40.29000518	4.961160021	11.55877784
43.195.9	176	83.88	46.27	100	45.12900356	NA	52.45774021	2.090747331	NA	NA	NA	0.767348754	44.11699288	1.46797153	50.86743772	NA	0.411476868	NA	NA	NA	1.012010676	0.822953737	NA	44.11699288	1.46797153	50.86743772	NA	0.3113879	NA	0.767348754	NA	NA	1.012010676	NA	0.822953737	NA	7.71797153	NA	0.3113879	NA	35.38701068	0.767348754	20.88523132	0.889679715	14.04581851	11.06539146	1.46797153	NA	NA	0.578291815	1.012010676	4.292704626	NA	0.822953737	14.04581851	NA	NA	NA	7.71797153	2.924822064	0.84519573	0.622775801	3.770017794	0.289145907	1.301156584	0.400355872	0.767348754	NA	1.879448399	1.456850534	0.645017794	1.46797153	0.745106762	NA	0.278024911	NA	NA	NA	0.578291815	1.012010676	4.292704626	NA	NA	0.822953737	30.67170819	15.43594306	6.472419929
45.186.10	147	63.04	32.6	100	48.74424847	NA	47.24884969	2.770322086	NA	0.508052147	1.33243865	7.476993865	47.82400307	0.575153374	36.65644172	NA	0.862730061	1.495398773	NA	0.508052147	0.920245399	1.620015337	NA	47.82400307	0.575153374	36.65644172	NA	NA	1.495398773	7.476993865	1.33243865	0.508052147	0.920245399	0.786042945	1.620015337	NA	2.252684049	NA	NA	1.495398773	24.30023006	7.476993865	24.21395706	0.728527607	19.09509202	8.25345092	0.575153374	1.33243865	0.508052147	1.533742331	0.920245399	3.374233129	0.786042945	1.620015337	19.09509202	0.268404908	NA	NA	2.252684049	2.291027607	0.316334356	0.929831288	0.460122699	NA	1.514570552	NA	7.476993865	NA	2.914110429	1.025690184	1.083205521	0.575153374	0.460122699	NA	1.878834356	1.33243865	1.33243865	0.508052147	1.533742331	0.920245399	3.374233129	0.786042945	NA	1.620015337	23.59087423	17.9256135	2.569018405
5.193.5	150	69.18	45.92	100	37.27296316	0.985988583	58.99065906	2.270368448	NA	NA	NA	9.950700571	35.80695381	1.660612351	48.48209652	0.985988583	0.596782564	NA	NA	NA	1.466009341	0.557861962	NA	35.80695381	1.660612351	48.48209652	0.985988583	0.441100156	NA	9.950700571	NA	NA	1.466009341	NA	0.557861962	NA	11.17021277	0.985988583	0.441100156	NA	31.42189933	9.950700571	16.10015568	0.6486767	6.603528801	11.13129216	1.660612351	NA	NA	1.284379865	1.466009341	5.578619616	NA	0.557861962	6.603528801	0.25947068	NA	0.791385573	11.17021277	2.088738972	0.480020758	0.38920602	0.505967826	1.297353399	0.908147379	0.441100156	9.950700571	0.985988583	3.814218993	0.45407369	1.323300467	1.660612351	0.38920602	NA	0.505967826	NA	NA	NA	1.284379865	1.466009341	5.578619616	NA	0.272444214	0.557861962	29.17747794	8.87389725	7.602490919
24.185.7	140	45.76	22.03	100	26.06784782	13.17126768	59.1951655	1.359703337	NA	NA	NA	20.69770636	25.97170718	1.071281417	37.79700591	13.17126768	0.28842192	NA	NA	NA	NA	0.700453234	NA	25.97170718	1.071281417	37.79700591	13.17126768	NA	NA	20.69770636	NA	NA	NA	NA	0.700453234	NA	0.947672023	13.17126768	NA	NA	30.44911413	20.69770636	16.30270567	NA	8.158220025	6.49636039	1.071281417	NA	NA	0.549375086	NA	0.727921989	NA	0.700453234	8.158220025	NA	NA	0.810328252	0.947672023	7.965938745	0.329625052	0.38456256	1.291031452	0.57684384	0.4807032	0.727921989	20.69770636	13.17126768	2.527125395	0.260953166	NA	1.071281417	NA	NA	0.260953166	NA	NA	NA	0.549375086	NA	0.727921989	NA	NA	0.700453234	27.83958247	5.795907156	3.955500618
52.218.10	141	50.51	27.31	100	36.83364586	NA	61.86713099	1.098312349	NA	NA	NA	15.87195285	36.48540048	0.696490758	45.71390303	NA	0.401821591	NA	NA	NA	0.348245379	NA	NA	36.48540048	0.696490758	45.71390303	NA	NA	NA	15.87195285	NA	NA	0.348245379	NA	NA	NA	1.406375569	NA	NA	NA	34.18162336	15.87195285	21.7921243	NA	12.49665149	9.670506295	0.696490758	NA	NA	0.629520493	0.348245379	1.701044736	NA	NA	12.49665149	NA	NA	NA	1.406375569	9.456201447	0.656308599	1.794803107	1.580498259	1.165282615	1.004553978	NA	15.87195285	NA	3.241360836	0.803643182	NA	0.696490758	NA	NA	NA	NA	NA	NA	0.629520493	0.348245379	1.701044736	NA	NA	NA	31.22153764	8.960621484	5.156710421
37.218.9	119	35.78	19.05	100	36.56953042	NA	59.67084403	2.098746791	0.332175751	0.770043787	NA	29.89581761	36.44873924	1.811867734	27.99335648	NA	0.256681262	1.706175449	0.332175751	0.770043787	NA	NA	0.332175751	36.44873924	1.811867734	27.99335648	NA	NA	1.706175449	29.89581761	NA	0.770043787	NA	NA	NA	0.332175751	1.464593085	NA	NA	1.706175449	21.57632493	29.89581761	25.849313	NA	8.440283859	4.680658312	1.811867734	NA	0.770043787	0.573758116	NA	1.645779858	NA	NA	8.440283859	NA	0.332175751	NA	1.464593085	9.708591273	0.573758116	NA	1.404197494	0.875736071	0.392571342	NA	29.89581761	NA	3.714328854	0.40767024	NA	1.811867734	NA	NA	NA	NA	NA	0.770043787	0.573758116	NA	1.645779858	NA	NA	NA	19.0699079	12.2452061	2.898988374
