#OTUId	31.188.9	54.194.10	13.194.5	64.194.12	39.187.9	65.195.12	25.187.7	18.189.7	19.190.7	12.192.5	3.189.5	7.213.5	1.186.5	47.189.10	51.213.10	23.218.7	55.195.10	34.193.9	15.196.5	22.213.7	63.192.12	14.195.5	30.186.9	35.203.9	6.203.5	36.213.9	8.218.5	57.193.12	46.188.10	16.186.7	4.190.5	66.196.12	50.203.10	44.196.9	10.187.5	21.203.7	38.185.9	61.185.12	58.203.12	29.196.7	9.185.5	11.191.5	56.188.12	43.195.9	45.186.10	5.193.5	24.185.7	52.218.10	37.218.9	48.190.10	41.192.9	40.191.9	28.195.7	17.188.7	2.188.5	53.191.10	62.191.12	59.213.12	32.189.9	42.194.9	49.193.10	33.190.9	20.193.7	27.192.7	60.218.12	taxonomy
OTU_1230	1	0	0	0	41	0	1	0	10	0	1	0	2	0	0	1	0	0	0	0	21	0	0	0	0	0	3	0	0	0	0	0	28	0	11	0	20	1	6	0	3	2	2	0	2	0	0	5	5	2	0	16	0	1	23	2	8	0	13	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_153	1	2	0	1	19	14	8	1	27	0	0	0	3	12	0	4	16	0	2	0	0	0	3	2	2	0	2	0	0	14	1	3	2	1	16	0	11	15	3	0	0	0	9	1	2	0	0	6	0	26	0	4	0	16	1	7	3	0	4	3	0	85	0	0	21	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_36	1	218	554	98	390	87	25	28	67	103	1	1	0	1	3	0	722	37	79	0	275	90	8	0	0	57	0	1	1	1	8	187	0	86	1	2	159	8	0	14	23	3	204	222	0	12	0	0	1	5	80	252	93	8	7	29	33	0	51	345	11	9	1	75	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_34	1	144	129	8	342	246	278	0	0	162	0	0	304	0	1	0	159	0	290	0	23	231	0	0	0	0	0	1	0	0	1	86	0	266	174	0	124	141	19	377	226	237	0	189	0	2	0	0	0	0	193	152	292	0	0	289	305	5	0	107	2	0	0	256	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_174	1	34	31	20	36	12	6	5	17	3	0	0	5	34	1	0	36	0	11	5	19	2	3	5	0	0	1	0	1	0	0	19	13	3	33	0	13	27	0	11	14	8	13	5	8	0	7	0	0	7	18	17	4	8	0	23	11	1	19	23	0	15	0	8	0	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;;
OTU_283	1	1	3	1	0	0	5	1	0	1	3	1	11	0	2	11	0	6	1	1	0	3	1	50	2	8	0	2	0	0	0	3	0	0	3	1	0	0	7	0	1	1	3	0	0	13	12	0	0	1	2	1	0	2	4	0	1	2	0	0	5	0	0	2	2	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_208	1	2	0	0	5	2	5	16	2	0	1	0	0	2	0	0	0	0	1	3	1	2	5	2	0	2	0	3	1	2	1	0	0	3	0	1	0	0	3	2	10	4	1	1	5	0	1	2	17	0	0	0	3	4	1	1	1	3	16	0	1	4	0	3	2	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Parvibacter;
OTU_133	1	23	8	7	6	13	8	1	4	10	4	0	6	2	1	0	8	20	4	7	22	1	2	23	8	68	17	17	0	3	11	26	43	15	10	1	2	8	2	3	6	2	13	30	8	11	9	1	5	10	62	12	12	46	3	4	2	4	5	20	13	13	0	11	10	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_147	2	5	5	3	6	3	2	3	6	1	1	1	8	1	4	26	14	0	3	17	5	2	3	5	28	16	3	5	0	12	3	0	14	1	14	0	2	3	2	0	3	0	4	14	0	2	23	2	0	0	20	2	0	5	6	2	12	2	5	12	2	11	0	1	9	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_193	1	2	1	0	1	1	0	0	6	0	3	5	0	2	3	24	24	20	0	0	3	2	1	1	4	6	8	11	1	1	1	0	11	1	0	2	0	0	24	7	0	0	19	8	0	13	2	10	3	1	12	0	8	6	42	0	0	1	0	9	8	0	1	6	11	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
